GEO (Labels),Level ,Value Column Name,Value
"North Macedonia","Levels 3 - 4","Variance Analysis (Unemployment)","2.204081632653061"
"North Macedonia","Levels 5 - 8","Unemployment","22.5"
"North Macedonia","Levels 5 - 8","Variance Analysis (Unemployment)","2.4615384615384617"
"Severna Makedonija","All Levels","Unemployment","31"
"Severna Makedonija","All Levels","Variance Analysis (Unemployment)","1.8440366972477065"
"Severna Makedonija","Levels 0-2","Unemployment","37.8"
"Severna Makedonija","Levels 0-2","Variance Analysis (Unemployment)","1.0106382978723403"
"Severna Makedonija","Levels 3 - 4","Unemployment","31.4"
"Severna Makedonija","Levels 3 - 4","Variance Analysis (Unemployment)","2.204081632653061"
"Severna Makedonija","Levels 5 - 8","Unemployment","22.5"
"Severna Makedonija","Levels 5 - 8","Variance Analysis (Unemployment)","2.4615384615384617"
"Extremadura","All Levels","Unemployment","33.1"
"Extremadura","All Levels","Variance Analysis (Unemployment)","2.0366972477064222"
"Extremadura","Levels 0-2","Unemployment","40.6"
"Extremadura","Levels 0-2","Variance Analysis (Unemployment)","1.1595744680851063"
"Extremadura","Levels 3 - 4","Unemployment","26.5"
"Extremadura","Levels 3 - 4","Variance Analysis (Unemployment)","1.7040816326530608"
"Extremadura","Levels 5 - 8","Unemployment","21.2"
"Extremadura","Levels 5 - 8","Variance Analysis (Unemployment)","2.2615384615384615"
"Dytiki Makedonia","All Levels","Unemployment","29.7"
"Dytiki Makedonia","All Levels","Variance Analysis (Unemployment)","1.7247706422018345"
"Dytiki Makedonia","Levels 0-2","Unemployment","25.7"
"Dytiki Makedonia","Levels 0-2","Variance Analysis (Unemployment)","0.36702127659574457"
"Dytiki Makedonia","Levels 3 - 4","Unemployment","35.2"
"Dytiki Makedonia","Levels 3 - 4","Variance Analysis (Unemployment)","2.5918367346938775"
"Dytiki Makedonia","Levels 5 - 8","Unemployment","26.1"
"Dytiki Makedonia","Levels 5 - 8","Variance Analysis (Unemployment)","3.015384615384616"
"Sterea Ellada","All Levels","Unemployment","27.9"
"Sterea Ellada","All Levels","Variance Analysis (Unemployment)","1.5596330275229358"
"Sterea Ellada","Levels 0-2","Unemployment","24.6"
"Sterea Ellada","Levels 0-2","Variance Analysis (Unemployment)","0.30851063829787234"
"Sterea Ellada","Levels 3 - 4","Unemployment","32.6"
"Sterea Ellada","Levels 3 - 4","Variance Analysis (Unemployment)","2.326530612244898"
"Sterea Ellada","Levels 5 - 8","Unemployment","24"
"Sterea Ellada","Levels 5 - 8","Variance Analysis (Unemployment)","2.692307692307692"
"Castilla-la Mancha","All Levels","Unemployment","28.6"
"Castilla-la Mancha","All Levels","Variance Analysis (Unemployment)","1.6238532110091746"
"Castilla-la Mancha","Levels 0-2","Unemployment","35.1"
"Castilla-la Mancha","Levels 0-2","Variance Analysis (Unemployment)","0.8670212765957447"
"Castilla-la Mancha","Levels 3 - 4","Unemployment","27.6"
"Castilla-la Mancha","Levels 3 - 4","Variance Analysis (Unemployment)","1.816326530612245"
"Castilla-la Mancha","Levels 5 - 8","Unemployment","17.7"
"Castilla-la Mancha","Levels 5 - 8","Variance Analysis (Unemployment)","1.723076923076923"
"Attiki","All Levels","Unemployment","25.8"
"Attiki","All Levels","Variance Analysis (Unemployment)","1.3669724770642202"
"Attiki","Levels 0-2","Unemployment","36.3"
"Attiki","Levels 0-2","Variance Analysis (Unemployment)","0.9308510638297869"
"Attiki","Levels 3 - 4","Unemployment","28.8"
"Attiki","Levels 3 - 4","Variance Analysis (Unemployment)","1.9387755102040816"
"Attiki","Levels 5 - 8","Unemployment","16.9"
"Attiki","Levels 5 - 8","Variance Analysis (Unemployment)","1.6"
"Comunitat Valenciana","All Levels","Unemployment","27.2"
"Comunitat Valenciana","All Levels","Variance Analysis (Unemployment)","1.495412844036697"
"Comunitat Valenciana","Levels 0-2","Unemployment","33.9"
"Comunitat Valenciana","Levels 0-2","Variance Analysis (Unemployment)","0.803191489361702"
"Comunitat Valenciana","Levels 3 - 4","Unemployment","27.4"
"Comunitat Valenciana","Levels 3 - 4","Variance Analysis (Unemployment)","1.7959183673469383"
"Comunitat Valenciana","Levels 5 - 8","Unemployment","18"
"Comunitat Valenciana","Levels 5 - 8","Variance Analysis (Unemployment)","1.7692307692307692"
"La Réunion","All Levels","Unemployment","28.6"
"La Réunion","All Levels","Variance Analysis (Unemployment)","1.6238532110091746"
"La Réunion","Levels 0-2","Unemployment","38"
"La Réunion","Levels 0-2","Variance Analysis (Unemployment)","1.0212765957446808"
"La Réunion","Levels 3 - 4","Unemployment","29.5"
"La Réunion","Levels 3 - 4","Variance Analysis (Unemployment)","2.010204081632653"
"La Réunion","Levels 5 - 8","Unemployment","9.9"
"La Réunion","Levels 5 - 8","Variance Analysis (Unemployment)","0.5230769230769231"
"Región de Murcia","All Levels","Unemployment","27.6"
"Región de Murcia","All Levels","Variance Analysis (Unemployment)","1.5321100917431196"
"Región de Murcia","Levels 0-2","Unemployment","34.3"
"Región de Murcia","Levels 0-2","Variance Analysis (Unemployment)","0.8244680851063828"
"Región de Murcia","Levels 3 - 4","Unemployment","26.8"
"Región de Murcia","Levels 3 - 4","Variance Analysis (Unemployment)","1.7346938775510206"
"Región de Murcia","Levels 5 - 8","Unemployment","16.6"
"Región de Murcia","Levels 5 - 8","Variance Analysis (Unemployment)","1.553846153846154"
"Kentriki Makedonia","All Levels","Unemployment","26.2"
"Kentriki Makedonia","All Levels","Variance Analysis (Unemployment)","1.403669724770642"
"Kentriki Makedonia","Levels 0-2","Unemployment","29.4"
"Kentriki Makedonia","Levels 0-2","Variance Analysis (Unemployment)","0.5638297872340424"
"Kentriki Makedonia","Levels 3 - 4","Unemployment","28.8"
"Kentriki Makedonia","Levels 3 - 4","Variance Analysis (Unemployment)","1.9387755102040816"
"Kentriki Makedonia","Levels 5 - 8","Unemployment","19.8"
"Kentriki Makedonia","Levels 5 - 8","Variance Analysis (Unemployment)","2.0461538461538464"
"Východné Slovensko","All Levels","Unemployment","19"
"Východné Slovensko","All Levels","Variance Analysis (Unemployment)","0.7431192660550459"
"Východné Slovensko","Levels 0-2","Unemployment","56.1"
"Východné Slovensko","Levels 0-2","Variance Analysis (Unemployment)","1.9840425531914891"
"Východné Slovensko","Levels 3 - 4","Unemployment","16.6"
"Východné Slovensko","Levels 3 - 4","Variance Analysis (Unemployment)","0.6938775510204082"
"Východné Slovensko","Levels 5 - 8","Unemployment","11.1"
"Východné Slovensko","Levels 5 - 8","Variance Analysis (Unemployment)","0.7076923076923076"
"Dytiki Ellada","All Levels","Unemployment","25.6"
"Dytiki Ellada","All Levels","Variance Analysis (Unemployment)","1.3486238532110093"
"Dytiki Ellada","Levels 0-2","Unemployment","23.2"
"Dytiki Ellada","Levels 0-2","Variance Analysis (Unemployment)","0.23404255319148926"
"Dytiki Ellada","Levels 3 - 4","Unemployment","28.7"
"Dytiki Ellada","Levels 3 - 4","Variance Analysis (Unemployment)","1.9285714285714284"
"Dytiki Ellada","Levels 5 - 8","Unemployment","24.8"
"Dytiki Ellada","Levels 5 - 8","Variance Analysis (Unemployment)","2.8153846153846156"
"Ciudad de Melilla","All Levels","Unemployment","26.9"
"Ciudad de Melilla","All Levels","Variance Analysis (Unemployment)","1.4678899082568804"
"Ciudad de Melilla","Levels 0-2","Unemployment","36.9"
"Ciudad de Melilla","Levels 0-2","Variance Analysis (Unemployment)","0.9627659574468084"
"Ciudad de Melilla","Levels 3 - 4","Unemployment","18.8"
"Ciudad de Melilla","Levels 3 - 4","Variance Analysis (Unemployment)","0.9183673469387754"
"Ciudad de Melilla","Levels 5 - 8","Unemployment","18.1"
"Ciudad de Melilla","Levels 5 - 8","Variance Analysis (Unemployment)","1.7846153846153847"
"Voreia Ellada","All Levels","Unemployment","25.5"
"Voreia Ellada","All Levels","Variance Analysis (Unemployment)","1.3394495412844036"
"Voreia Ellada","Levels 0-2","Unemployment","26.3"
"Voreia Ellada","Levels 0-2","Variance Analysis (Unemployment)","0.39893617021276595"
"Voreia Ellada","Levels 3 - 4","Unemployment","29.3"
"Voreia Ellada","Levels 3 - 4","Variance Analysis (Unemployment)","1.9897959183673466"
"Voreia Ellada","Levels 5 - 8","Unemployment","19.2"
"Voreia Ellada","Levels 5 - 8","Variance Analysis (Unemployment)","1.9538461538461538"
"Centro (ES)","All Levels","Unemployment","25.6"
"Centro (ES)","All Levels","Variance Analysis (Unemployment)","1.3486238532110093"
"Centro (ES)","Levels 0-2","Unemployment","33.1"
"Centro (ES)","Levels 0-2","Variance Analysis (Unemployment)","0.7606382978723404"
"Centro (ES)","Levels 3 - 4","Unemployment","23.4"
"Centro (ES)","Levels 3 - 4","Variance Analysis (Unemployment)","1.387755102040816"
"Centro (ES)","Levels 5 - 8","Unemployment","16"
"Centro (ES)","Levels 5 - 8","Variance Analysis (Unemployment)","1.4615384615384612"
"Spain","All Levels","Unemployment","24.8"
"Spain","All Levels","Variance Analysis (Unemployment)","1.275229357798165"
"Spain","Levels 0-2","Unemployment","33.7"
"Spain","Levels 0-2","Variance Analysis (Unemployment)","0.7925531914893618"
"Spain","Levels 3 - 4","Unemployment","24.1"
"Spain","Levels 3 - 4","Variance Analysis (Unemployment)","1.4591836734693877"
"Spain","Levels 5 - 8","Unemployment","14.9"
"Spain","Levels 5 - 8","Variance Analysis (Unemployment)","1.2923076923076922"
"Greece","All Levels","Unemployment","24.5"
"Greece","All Levels","Variance Analysis (Unemployment)","1.2477064220183485"
"Greece","Levels 0-2","Unemployment","26"
"Greece","Levels 0-2","Variance Analysis (Unemployment)","0.38297872340425526"
"Greece","Levels 3 - 4","Unemployment","27.7"
"Greece","Levels 3 - 4","Variance Analysis (Unemployment)","1.8265306122448977"
"Greece","Levels 5 - 8","Unemployment","18.4"
"Greece","Levels 5 - 8","Variance Analysis (Unemployment)","1.8307692307692305"
"Este (ES)","All Levels","Unemployment","24.2"
"Este (ES)","All Levels","Variance Analysis (Unemployment)","1.220183486238532"
"Este (ES)","Levels 0-2","Unemployment","31.7"
"Este (ES)","Levels 0-2","Variance Analysis (Unemployment)","0.6861702127659574"
"Este (ES)","Levels 3 - 4","Unemployment","23.8"
"Este (ES)","Levels 3 - 4","Variance Analysis (Unemployment)","1.4285714285714284"
"Este (ES)","Levels 5 - 8","Unemployment","15"
"Este (ES)","Levels 5 - 8","Variance Analysis (Unemployment)","1.3076923076923077"
"RUP FR - Régions ultrapériphériques françaises","All Levels","Unemployment","25.1"
"RUP FR - Régions ultrapériphériques françaises","All Levels","Variance Analysis (Unemployment)","1.3027522935779816"
"RUP FR - Régions ultrapériphériques françaises","Levels 0-2","Unemployment","34.5"
"RUP FR - Régions ultrapériphériques françaises","Levels 0-2","Variance Analysis (Unemployment)","0.8351063829787233"
"RUP FR - Régions ultrapériphériques françaises","Levels 3 - 4","Unemployment","25.4"
"RUP FR - Régions ultrapériphériques françaises","Levels 3 - 4","Variance Analysis (Unemployment)","1.5918367346938773"
"RUP FR - Régions ultrapériphériques françaises","Levels 5 - 8","Unemployment","8.9"
"RUP FR - Régions ultrapériphériques françaises","Levels 5 - 8","Variance Analysis (Unemployment)","0.36923076923076936"
"Kentriki Ellada","All Levels","Unemployment","23.1"
"Kentriki Ellada","All Levels","Variance Analysis (Unemployment)","1.1192660550458715"
"Kentriki Ellada","Levels 0-2","Unemployment","20.2"
"Kentriki Ellada","Levels 0-2","Variance Analysis (Unemployment)","0.0744680851063829"
"Kentriki Ellada","Levels 3 - 4","Unemployment","26.5"
"Kentriki Ellada","Levels 3 - 4","Variance Analysis (Unemployment)","1.7040816326530608"
"Kentriki Ellada","Levels 5 - 8","Unemployment","21.8"
"Kentriki Ellada","Levels 5 - 8","Variance Analysis (Unemployment)","2.353846153846154"
"Serbia","All Levels","Unemployment","24.1"
"Serbia","All Levels","Variance Analysis (Unemployment)","1.2110091743119267"
"Serbia","Levels 0-2","Unemployment","23.4"
"Serbia","Levels 0-2","Variance Analysis (Unemployment)","0.2446808510638297"
"Serbia","Levels 3 - 4","Unemployment","26.9"
"Serbia","Levels 3 - 4","Variance Analysis (Unemployment)","1.7448979591836733"
"Serbia","Levels 5 - 8","Unemployment","17"
"Serbia","Levels 5 - 8","Variance Analysis (Unemployment)","1.6153846153846154"
"Thessalia","All Levels","Unemployment","22.7"
"Thessalia","All Levels","Variance Analysis (Unemployment)","1.0825688073394495"
"Thessalia","Levels 0-2","Unemployment","20.6"
"Thessalia","Levels 0-2","Variance Analysis (Unemployment)","0.09574468085106387"
"Thessalia","Levels 3 - 4","Unemployment","25.4"
"Thessalia","Levels 3 - 4","Variance Analysis (Unemployment)","1.5918367346938773"
"Thessalia","Levels 5 - 8","Unemployment","20.8"
"Thessalia","Levels 5 - 8","Variance Analysis (Unemployment)","2.2"
"Ipeiros","All Levels","Unemployment","22.6"
"Ipeiros","All Levels","Variance Analysis (Unemployment)","1.073394495412844"
"Ipeiros","Levels 0-2","Unemployment","21.1"
"Ipeiros","Levels 0-2","Variance Analysis (Unemployment)","0.12234042553191493"
"Ipeiros","Levels 3 - 4","Unemployment","27"
"Ipeiros","Levels 3 - 4","Variance Analysis (Unemployment)","1.7551020408163263"
"Ipeiros","Levels 5 - 8","Unemployment","18.5"
"Ipeiros","Levels 5 - 8","Variance Analysis (Unemployment)","1.846153846153846"
"Anatoliki Makedonia, Thraki","All Levels","Unemployment","22.9"
"Anatoliki Makedonia, Thraki","All Levels","Variance Analysis (Unemployment)","1.1009174311926604"
"Anatoliki Makedonia, Thraki","Levels 0-2","Unemployment","22.6"
"Anatoliki Makedonia, Thraki","Levels 0-2","Variance Analysis (Unemployment)","0.20212765957446813"
"Anatoliki Makedonia, Thraki","Levels 3 - 4","Unemployment","29.1"
"Anatoliki Makedonia, Thraki","Levels 3 - 4","Variance Analysis (Unemployment)","1.9693877551020407"
"Anatoliki Makedonia, Thraki","Levels 5 - 8","Unemployment","14.2"
"Anatoliki Makedonia, Thraki","Levels 5 - 8","Variance Analysis (Unemployment)","1.1846153846153844"
"Cataluña","All Levels","Unemployment","22.5"
"Cataluña","All Levels","Variance Analysis (Unemployment)","1.0642201834862384"
"Cataluña","Levels 0-2","Unemployment","30.6"
"Cataluña","Levels 0-2","Variance Analysis (Unemployment)","0.6276595744680851"
"Cataluña","Levels 3 - 4","Unemployment","22.2"
"Cataluña","Levels 3 - 4","Variance Analysis (Unemployment)","1.2653061224489794"
"Cataluña","Levels 5 - 8","Unemployment","13.4"
"Cataluña","Levels 5 - 8","Variance Analysis (Unemployment)","1.0615384615384615"
"Kriti","All Levels","Unemployment","22.3"
"Kriti","All Levels","Variance Analysis (Unemployment)","1.0458715596330275"
"Kriti","Levels 0-2","Unemployment","21"
"Kriti","Levels 0-2","Variance Analysis (Unemployment)","0.11702127659574463"
"Kriti","Levels 3 - 4","Unemployment","24.3"
"Kriti","Levels 3 - 4","Variance Analysis (Unemployment)","1.479591836734694"
"Kriti","Levels 5 - 8","Unemployment","20.9"
"Kriti","Levels 5 - 8","Variance Analysis (Unemployment)","2.215384615384615"
"Illes Balears","All Levels","Unemployment","23.2"
"Illes Balears","All Levels","Variance Analysis (Unemployment)","1.128440366972477"
"Illes Balears","Levels 0-2","Unemployment","29.9"
"Illes Balears","Levels 0-2","Variance Analysis (Unemployment)","0.5904255319148934"
"Illes Balears","Levels 3 - 4","Unemployment","20.7"
"Illes Balears","Levels 3 - 4","Variance Analysis (Unemployment)","1.1122448979591835"
"Illes Balears","Levels 5 - 8","Unemployment","14.4"
"Illes Balears","Levels 5 - 8","Variance Analysis (Unemployment)","1.2153846153846155"
"Principado de Asturias","All Levels","Unemployment","21.8"
"Principado de Asturias","All Levels","Variance Analysis (Unemployment)","1"
"Principado de Asturias","Levels 0-2","Unemployment","29.1"
"Principado de Asturias","Levels 0-2","Variance Analysis (Unemployment)","0.5478723404255319"
"Principado de Asturias","Levels 3 - 4","Unemployment","20.4"
"Principado de Asturias","Levels 3 - 4","Variance Analysis (Unemployment)","1.0816326530612241"
"Principado de Asturias","Levels 5 - 8","Unemployment","16.4"
"Principado de Asturias","Levels 5 - 8","Variance Analysis (Unemployment)","1.5230769230769226"
"Guadeloupe","All Levels","Unemployment","23"
"Guadeloupe","All Levels","Variance Analysis (Unemployment)","1.110091743119266"
"Guadeloupe","Levels 0-2","Unemployment","31.3"
"Guadeloupe","Levels 0-2","Variance Analysis (Unemployment)","0.6648936170212765"
"Guadeloupe","Levels 3 - 4","Unemployment","23.8"
"Guadeloupe","Levels 3 - 4","Variance Analysis (Unemployment)","1.4285714285714284"
"Guadeloupe","Levels 5 - 8","Unemployment","9.2"
"Guadeloupe","Levels 5 - 8","Variance Analysis (Unemployment)","0.41538461538461535"
"Crna Gora","All Levels","Unemployment","20"
"Crna Gora","All Levels","Variance Analysis (Unemployment)","0.8348623853211009"
"Crna Gora","Levels 0-2","Unemployment","34.9"
"Crna Gora","Levels 0-2","Variance Analysis (Unemployment)","0.8563829787234041"
"Crna Gora","Levels 3 - 4","Unemployment","21.4"
"Crna Gora","Levels 3 - 4","Variance Analysis (Unemployment)","1.1836734693877549"
"Crna Gora","Levels 5 - 8","Unemployment","10.9"
"Crna Gora","Levels 5 - 8","Variance Analysis (Unemployment)","0.676923076923077"
"Montenegro","All Levels","Unemployment","20"
"Montenegro","All Levels","Variance Analysis (Unemployment)","0.8348623853211009"
"Montenegro","Levels 0-2","Unemployment","34.9"
"Montenegro","Levels 0-2","Variance Analysis (Unemployment)","0.8563829787234041"
"Montenegro","Levels 3 - 4","Unemployment","21.4"
"Montenegro","Levels 3 - 4","Variance Analysis (Unemployment)","1.1836734693877549"
"Montenegro","Levels 5 - 8","Unemployment","10.9"
"Montenegro","Levels 5 - 8","Variance Analysis (Unemployment)","0.676923076923077"
"Voreio Aigaio","All Levels","Unemployment","21.8"
"Voreio Aigaio","All Levels","Variance Analysis (Unemployment)","1"
"Voreio Aigaio","Levels 0-2","Unemployment","25.9"
"Voreio Aigaio","Levels 0-2","Variance Analysis (Unemployment)","0.3776595744680849"
"Voreio Aigaio","Levels 3 - 4","Unemployment","21.9"
"Voreio Aigaio","Levels 3 - 4","Variance Analysis (Unemployment)","1.2346938775510201"
"Voreio Aigaio","Levels 5 - 8","Unemployment","15.1"
"Voreio Aigaio","Levels 5 - 8","Variance Analysis (Unemployment)","1.3230769230769228"
"La Rioja","All Levels","Unemployment","20.6"
"La Rioja","All Levels","Variance Analysis (Unemployment)","0.889908256880734"
"La Rioja","Levels 0-2","Unemployment","27.2"
"La Rioja","Levels 0-2","Variance Analysis (Unemployment)","0.4468085106382978"
"La Rioja","Levels 3 - 4","Unemployment","21.1"
"La Rioja","Levels 3 - 4","Variance Analysis (Unemployment)","1.153061224489796"
"La Rioja","Levels 5 - 8","Unemployment","13.5"
"La Rioja","Levels 5 - 8","Variance Analysis (Unemployment)","1.0769230769230769"
"Martinique","All Levels","Unemployment","21"
"Martinique","All Levels","Variance Analysis (Unemployment)","0.926605504587156"
"Martinique","Levels 0-2","Unemployment","30.3"
"Martinique","Levels 0-2","Variance Analysis (Unemployment)","0.6117021276595744"
"Martinique","Levels 3 - 4","Unemployment","21.4"
"Martinique","Levels 3 - 4","Variance Analysis (Unemployment)","1.1836734693877549"
"Martinique","Levels 5 - 8","Unemployment","8.5"
"Martinique","Levels 5 - 8","Variance Analysis (Unemployment)","0.3076923076923077"
"Noroeste (ES)","All Levels","Unemployment","20.5"
"Noroeste (ES)","All Levels","Variance Analysis (Unemployment)","0.8807339449541284"
"Noroeste (ES)","Levels 0-2","Unemployment","26.2"
"Noroeste (ES)","Levels 0-2","Variance Analysis (Unemployment)","0.39361702127659565"
"Noroeste (ES)","Levels 3 - 4","Unemployment","19.2"
"Noroeste (ES)","Levels 3 - 4","Variance Analysis (Unemployment)","0.9591836734693875"
"Noroeste (ES)","Levels 5 - 8","Unemployment","15.1"
"Noroeste (ES)","Levels 5 - 8","Variance Analysis (Unemployment)","1.3230769230769228"
"Galicia","All Levels","Unemployment","20.6"
"Galicia","All Levels","Variance Analysis (Unemployment)","0.889908256880734"
"Galicia","Levels 0-2","Unemployment","25.6"
"Galicia","Levels 0-2","Variance Analysis (Unemployment)","0.3617021276595745"
"Galicia","Levels 3 - 4","Unemployment","19.4"
"Galicia","Levels 3 - 4","Variance Analysis (Unemployment)","0.9795918367346936"
"Galicia","Levels 5 - 8","Unemployment","15"
"Galicia","Levels 5 - 8","Variance Analysis (Unemployment)","1.3076923076923077"
"Stredné Slovensko","All Levels","Unemployment","16.2"
"Stredné Slovensko","All Levels","Variance Analysis (Unemployment)","0.4862385321100916"
"Stredné Slovensko","Levels 0-2","Unemployment","41"
"Stredné Slovensko","Levels 0-2","Variance Analysis (Unemployment)","1.180851063829787"
"Stredné Slovensko","Levels 3 - 4","Unemployment","16.5"
"Stredné Slovensko","Levels 3 - 4","Variance Analysis (Unemployment)","0.683673469387755"
"Stredné Slovensko","Levels 5 - 8","Unemployment","6.6"
"Stredné Slovensko","Levels 5 - 8","Variance Analysis (Unemployment)","0.01538461538461533"
"Severoiztochen","All Levels","Unemployment","18.3"
"Severoiztochen","All Levels","Variance Analysis (Unemployment)","0.6788990825688075"
"Severoiztochen","Levels 0-2","Unemployment","37.2"
"Severoiztochen","Levels 0-2","Variance Analysis (Unemployment)","0.9787234042553191"
"Severoiztochen","Levels 3 - 4","Unemployment","16.2"
"Severoiztochen","Levels 3 - 4","Variance Analysis (Unemployment)","0.6530612244897958"
"Severoiztochen","Levels 5 - 8","Unemployment","7.9"
"Severoiztochen","Levels 5 - 8","Variance Analysis (Unemployment)","0.21538461538461542"
"Comunidad de Madrid","All Levels","Unemployment","18.6"
"Comunidad de Madrid","All Levels","Variance Analysis (Unemployment)","0.706422018348624"
"Comunidad de Madrid","Levels 0-2","Unemployment","29"
"Comunidad de Madrid","Levels 0-2","Variance Analysis (Unemployment)","0.5425531914893617"
"Comunidad de Madrid","Levels 3 - 4","Unemployment","21.5"
"Comunidad de Madrid","Levels 3 - 4","Variance Analysis (Unemployment)","1.193877551020408"
"Comunidad de Madrid","Levels 5 - 8","Unemployment","10.5"
"Comunidad de Madrid","Levels 5 - 8","Variance Analysis (Unemployment)","0.6153846153846154"
"Nisia Aigaiou, Kriti","All Levels","Unemployment","20.3"
"Nisia Aigaiou, Kriti","All Levels","Variance Analysis (Unemployment)","0.8623853211009176"
"Nisia Aigaiou, Kriti","Levels 0-2","Unemployment","19.6"
"Nisia Aigaiou, Kriti","Levels 0-2","Variance Analysis (Unemployment)","0.042553191489361736"
"Nisia Aigaiou, Kriti","Levels 3 - 4","Unemployment","22.6"
"Nisia Aigaiou, Kriti","Levels 3 - 4","Variance Analysis (Unemployment)","1.306122448979592"
"Nisia Aigaiou, Kriti","Levels 5 - 8","Unemployment","16.7"
"Nisia Aigaiou, Kriti","Levels 5 - 8","Variance Analysis (Unemployment)","1.5692307692307694"
"Slovakia","All Levels","Unemployment","14"
"Slovakia","All Levels","Variance Analysis (Unemployment)","0.2844036697247706"
"Slovakia","Levels 0-2","Unemployment","44.6"
"Slovakia","Levels 0-2","Variance Analysis (Unemployment)","1.372340425531915"
"Slovakia","Levels 3 - 4","Unemployment","13.5"
"Slovakia","Levels 3 - 4","Variance Analysis (Unemployment)","0.3775510204081632"
"Slovakia","Levels 5 - 8","Unemployment","6.8"
"Slovakia","Levels 5 - 8","Variance Analysis (Unemployment)","0.04615384615384613"
"Slovensko","All Levels","Unemployment","14"
"Slovensko","All Levels","Variance Analysis (Unemployment)","0.2844036697247706"
"Slovensko","Levels 0-2","Unemployment","44.6"
"Slovensko","Levels 0-2","Variance Analysis (Unemployment)","1.372340425531915"
"Slovensko","Levels 3 - 4","Unemployment","13.5"
"Slovensko","Levels 3 - 4","Variance Analysis (Unemployment)","0.3775510204081632"
"Slovensko","Levels 5 - 8","Unemployment","6.8"
"Slovensko","Levels 5 - 8","Variance Analysis (Unemployment)","0.04615384615384613"
"Castilla y León","All Levels","Unemployment","19.8"
"Castilla y León","All Levels","Variance Analysis (Unemployment)","0.8165137614678899"
"Castilla y León","Levels 0-2","Unemployment","26.4"
"Castilla y León","Levels 0-2","Variance Analysis (Unemployment)","0.40425531914893603"
"Castilla y León","Levels 3 - 4","Unemployment","19"
"Castilla y León","Levels 3 - 4","Variance Analysis (Unemployment)","0.9387755102040815"
"Castilla y León","Levels 5 - 8","Unemployment","13.4"
"Castilla y León","Levels 5 - 8","Variance Analysis (Unemployment)","1.0615384615384615"
"Peloponnisos","All Levels","Unemployment","19.2"
"Peloponnisos","All Levels","Variance Analysis (Unemployment)","0.7614678899082566"
"Peloponnisos","Levels 0-2","Unemployment","15.1"
"Peloponnisos","Levels 0-2","Variance Analysis (Unemployment)","0.1968085106382979"
"Peloponnisos","Levels 3 - 4","Unemployment","22.2"
"Peloponnisos","Levels 3 - 4","Variance Analysis (Unemployment)","1.2653061224489794"
"Peloponnisos","Levels 5 - 8","Unemployment","20.6"
"Peloponnisos","Levels 5 - 8","Variance Analysis (Unemployment)","2.1692307692307695"
"Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","All Levels","Unemployment","17.4"
