Product.Quarter	Product.Category Hierarchy.Category	Product.Category Hierarchy.Sub Category	Product.Region Hierarchy.Region	Product.Region Hierarchy.Sub Region	Sum(Product.Sales)	Sum(Product.PY Sales)	Sum(Product.Target)
Q2	Water	Mineral Water	International	APAC	9947971.83	7735580.89	8736278.8
Q3	Water	Mineral Water	International	APAC	9086780.84	9323025.13	9658421.2
Q4	Water	Mineral Water	International	APAC	8143752.86	6834762.91	7432542.66
Q1	Water	Mineral Water	International		23133899.01	20206632.77	21304839.46
Q2	Water	Mineral Water	International		25951287.32	24434223.45	26875748.69
Q3	Water	Mineral Water	International		27001798.94	28711933.07	29501742.26
Q4	Water	Mineral Water	International		22425560.66	22258840.98	22423223.88
Q1	Water	Mineral Water			63328125.09	54835180.93	57490938.5
Q2	Water	Mineral Water			73147752.03	66712740.92	69136732.1
Q3	Water	Mineral Water			69182945.5	74516529.69	76021592.75
Q4	Water	Mineral Water			58624297.99	58028119.98	60357149.15
Q1	Water	Sparkling Water	United States	East	3580923.63	3727374.38	3663871.45
Q2	Water	Sparkling Water	United States	East	3243967.87	2808333.59	2870938.94
Q3	Water	Sparkling Water	United States	East	3384367.34	2701821.65	2167713.79
Q4	Water	Sparkling Water	United States	East	4020255.97	3424810.81	2971166.12
Q1	Water	Sparkling Water	United States	Pacific	1400557.23	1826094	2009072.6
Q2	Water	Sparkling Water	United States	Pacific	1275414.1	1887326.76	1998432.71
Q3	Water	Sparkling Water	United States	Pacific	1528692.52	1674510.07	1384518.03
Q4	Water	Sparkling Water	United States	Pacific	2179084.3	1991361.15	2238249.3
Q1	Water	Sparkling Water	United States	Midwest	1154105.51	1181937.59	1140065.85
Q2	Water	Sparkling Water	United States	Midwest	954721.78	999701	1054231.06
Q3	Water	Sparkling Water	United States	Midwest	1024201.73	989725.75	899917.95
Q4	Water	Sparkling Water	United States	Midwest	1450982.33	1279078.22	1129447.52
Q1	Water	Sparkling Water	United States	Central	1427010.19	1389217.17	1358587.24
Q2	Water	Sparkling Water	United States	Central	1227814.62	1038136.21	901534.26
Q3	Water	Sparkling Water	United States	Central	828464.4	976229.26	1113545.06
Q4	Water	Sparkling Water	United States	Central	1022615.48	1328611.94	1391114.61
Q1	Water	Sparkling Water	United States		7562596.56	8124623.14	8171597.14
Q2	Water	Sparkling Water	United States		6701918.37	6733497.56	6825136.97
Q3	Water	Sparkling Water	United States		6765725.99	6342286.73	5565694.83
Q4	Water	Sparkling Water	United States		8672938.08	8023862.12	7729977.55
Q1	Water	Sparkling Water	International	EMEA	4149451.5	2745770.09	2655907.69
Q2	Water	Sparkling Water	International	EMEA	3351926.71	2861266.61	2679515.51
Q3	Water	Sparkling Water	International	EMEA	2701839.79	2501934.9	2314501.05
Q4	Water	Sparkling Water	International	EMEA	2807167.18	3166958.23	2991690.04
Q1	Water	Sparkling Water	International	APAC	1454868.69	1339207.22	1537687.31
Q2	Water	Sparkling Water	International	APAC	1063910.05	1008027.81	988148.87
Q3	Water	Sparkling Water	International	APAC	1183448.36	1008039.12	907987.92
Q4	Water	Sparkling Water	International	APAC	1359679.16	1490632.04	1428526.33
Q1	Water	Sparkling Water	International		5604320.19	4084977.31	4193595
Q2	Water	Sparkling Water	International		4415836.76	3869294.42	3667664.38
Q3	Water	Sparkling Water	International		3885288.15	3509974.02	3222488.97
Q4	Water	Sparkling Water	International		4166846.34	4657590.27	4420216.37
Q1	Water	Sparkling Water			13166916.75	12209600.45	12365192.14
Q2	Water	Sparkling Water			11117755.13	10602791.98	10492801.35
Q3	Water	Sparkling Water			10651014.14	9852260.75	8788183.8
Q4	Water	Sparkling Water			12839784.42	12681452.39	12150193.92
Q1	Water				76495041.84	67044781.38	69856130.64
Q2	Water				84265507.16	77315532.9	79629533.45
Q3	Water				79833959.64	84368790.44	84809776.55
Q4	Water				71464082.41	70709572.37	72507343.07
