Date Table.Date.Variation.Date Hierarchy.Month,Date Table.Date.Variation.Date Hierarchy.Year,Superstore.Region,Superstore.State,Sum(Superstore.Sales),Sum(Superstore.Cost),CountNonNull(Superstore.Order ID),CountNonNull(Superstore.Product Name),CountNonNull(Superstore.Customer Name)
December,2018,Central,Kansas,,,,,
January,2015,Central,Michigan,949.116,753.8112,10,10,10
February,2015,Central,Michigan,,,,,
March,2015,Central,Michigan,22.38,11.6376,1,1,1
April,2015,Central,Michigan,855.44,778.4356,6,6,6
May,2015,Central,Michigan,104.22,56.74679999999999,2,2,2
June,2015,Central,Michigan,929.93,542.0647,6,6,6
July,2015,Central,Michigan,,,,,
August,2015,Central,Michigan,1129.165,683.4374,6,6,6
September,2015,Central,Michigan,103.6,51.8,1,1,1
October,2015,Central,Michigan,211.96,203.4816,1,1,1
November,2015,Central,Michigan,1742.4,1204.7730000000001,13,13,13
December,2015,Central,Michigan,124.04,68.6544,2,2,2
January,2016,Central,Michigan,,,,,
February,2016,Central,Michigan,79.36,58.7264,1,1,1
March,2016,Central,Michigan,,,,,
April,2016,Central,Michigan,5454.268,3098.3804,8,8,8
May,2016,Central,Michigan,925.83,660.4442,2,2,2
June,2016,Central,Michigan,829.33,523.6292,6,6,6
July,2016,Central,Michigan,19,10.07,1,1,1
August,2016,Central,Michigan,957.88,743.5291000000001,6,6,6
September,2016,Central,Michigan,270.13,210.7041,5,5,5
October,2016,Central,Michigan,1971.743,1565.1726999999998,11,11,11
November,2016,Central,Michigan,3211.478,2471.9679,8,8,8
December,2016,Central,Michigan,3124.66,2334.5567000000005,21,21,21
January,2017,Central,Michigan,,,,,
February,2017,Central,Michigan,,,,,
March,2017,Central,Michigan,221.044,168.85739999999998,2,2,2
April,2017,Central,Michigan,523.18,386.0972,2,2,2
May,2017,Central,Michigan,3963.57,3042.4284000000002,3,3,3
June,2017,Central,Michigan,925.94,602.4418000000001,4,4,4
July,2017,Central,Michigan,2578.79,2017.0165,10,10,10
August,2017,Central,Michigan,1172.76,840.0931999999999,6,6,6
September,2017,Central,Michigan,1397.72,1036.8859000000002,16,16,16
October,2017,Central,Michigan,448.62,314.4172,6,6,6
November,2017,Central,Michigan,3456.532,2811.3737999999994,11,11,11
December,2017,Central,Michigan,12731.879,7207.404800000001,11,11,11
January,2018,Central,Michigan,10313.495,6647.800400000001,10,10,10
February,2018,Central,Michigan,,,,,
March,2018,Central,Michigan,1237.72,703.4721999999999,4,4,4
April,2018,Central,Michigan,1242.52,782.7332,5,5,5
May,2018,Central,Michigan,2090.814,1502.7714999999998,5,5,5
June,2018,Central,Michigan,1184.86,840.703,5,5,5
July,2018,Central,Michigan,,,,,
August,2018,Central,Michigan,53.72,39.7528,1,1,1
September,2018,Central,Michigan,4285.43,2845.1136,8,8,8
October,2018,Central,Michigan,361.17,231.2422,5,5,5
November,2018,Central,Michigan,1024.11,815.438,6,6,6
December,2018,Central,Michigan,4039.81,2936.5603,18,18,18
January,2015,Central,Minnesota,,,,,
February,2015,Central,Minnesota,,,,,
March,2015,Central,Minnesota,379.22,264.5632,6,6,6
April,2015,Central,Minnesota,,,,,
May,2015,Central,Minnesota,,,,,
June,2015,Central,Minnesota,4409.38,3244.9901,7,7,7
July,2015,Central,Minnesota,,,,,
August,2015,Central,Minnesota,,,,,
September,2015,Central,Minnesota,9900.19,5231.4965,4,4,4
October,2015,Central,Minnesota,,,,,
November,2015,Central,Minnesota,1050.18,815.3563,4,4,4
December,2015,Central,Minnesota,144.36,89.5632,2,2,2
January,2016,Central,Minnesota,171.5,97.12020000000001,5,5,5
February,2016,Central,Minnesota,,,,,
March,2016,Central,Minnesota,,,,,
April,2016,Central,Minnesota,,,,,
May,2016,Central,Minnesota,3113.75,2204.42,4,4,4
June,2016,Central,Minnesota,,,,,
July,2016,Central,Minnesota,155.88,116.91,1,1,1
August,2016,Central,Minnesota,74.94,40.75619999999999,3,3,3
September,2016,Central,Minnesota,43,22.7284,2,2,2
October,2016,Central,Minnesota,,,,,
November,2016,Central,Minnesota,2165.12,1520.7767999999999,5,5,5
December,2016,Central,Minnesota,,,,,
January,2017,Central,Minnesota,,,,,
February,2017,Central,Minnesota,,,,,
March,2017,Central,Minnesota,63.44,35.4624,2,2,2
April,2017,Central,Minnesota,,,,,
May,2017,Central,Minnesota,,,,,
June,2017,Central,Minnesota,692.94,519.705,1,1,1
July,2017,Central,Minnesota,,,,,
August,2017,Central,Minnesota,,,,,
September,2017,Central,Minnesota,613.29,430.0818,2,2,2
October,2017,Central,Minnesota,,,,,
November,2017,Central,Minnesota,,,,,
December,2017,Central,Minnesota,157.71,137.66140000000001,3,3,3
January,2018,Central,Minnesota,,,,,
February,2018,Central,Minnesota,90.64,51.6648,1,1,1
March,2018,Central,Minnesota,375.71,243.82190000000003,4,4,4
April,2018,Central,Minnesota,,,,,
May,2018,Central,Minnesota,,,,,
June,2018,Central,Minnesota,530.01,377.1803,6,6,6
July,2018,Central,Minnesota,735.98,404.789,1,1,1
August,2018,Central,Minnesota,201.88,123.7816,5,5,5
September,2018,Central,Minnesota,1630.21,1095.5411,6,6,6
October,2018,Central,Minnesota,1820.13,967.206,3,3,3
November,2018,Central,Minnesota,153.46,95.67160000000001,7,7,7
December,2018,Central,Minnesota,1190.23,908.7148,5,5,5
January,2015,Central,Missouri,,,,,
February,2015,Central,Missouri,535.27,428.4789,6,6,6
March,2015,Central,Missouri,,,,,
April,2015,Central,Missouri,,,,,
May,2015,Central,Missouri,,,,,
June,2015,Central,Missouri,,,,,
July,2015,Central,Missouri,,,,,
August,2015,Central,Missouri,897.84,644.1479999999999,4,4,4
September,2015,Central,Missouri,,,,,
October,2015,Central,Missouri,,,,,
November,2015,Central,Missouri,111.79,68.1919,1,1,1
December,2015,Central,Missouri,103.13,62.953,3,3,3
January,2016,Central,Missouri,,,,,
February,2016,Central,Missouri,,,,,
March,2016,Central,Missouri,,,,,
April,2016,Central,Missouri,,,,,
May,2016,Central,Missouri,,,,,
June,2016,Central,Missouri,10.56,5.808,1,1,1
July,2016,Central,Missouri,52.59,36.813,1,1,1
August,2016,Central,Missouri,241.34,194.2056,2,2,2
September,2016,Central,Missouri,,,,,
October,2016,Central,Missouri,,,,,
November,2016,Central,Missouri,1685.15,1207.2929,5,5,5
December,2016,Central,Missouri,4995.57,2648.4264999999996,3,3,3
January,2017,Central,Missouri,,,,,
February,2017,Central,Missouri,,,,,
March,2017,Central,Missouri,697.16,550.7564,1,1,1
April,2017,Central,Missouri,86.62,77.958,1,1,1
May,2017,Central,Missouri,54.48,39.2256,1,1,1
June,2017,Central,Missouri,,,,,
July,2017,Central,Missouri,589.52,497.69759999999997,5,5,5
August,2017,Central,Missouri,,,,,
September,2017,Central,Missouri,296.51,221.5388,2,2,2
October,2017,Central,Missouri,2377.56,1405.3146,2,2,2
November,2017,Central,Missouri,119.26,62.7612,2,2,2
December,2017,Central,Missouri,,,,,
January,2018,Central,Missouri,4619.33,4412.6776,4,4,4
February,2018,Central,Missouri,,,,,
March,2018,Central,Missouri,,,,,
April,2018,Central,Missouri,131.36,90.25720000000001,3,3,3
May,2018,Central,Missouri,865,644.049,3,3,3
June,2018,Central,Missouri,,,,,
July,2018,Central,Missouri,,,,,
August,2018,Central,Missouri,,,,,
September,2018,Central,Missouri,2635.68,1668.5336999999995,11,11,11
October,2018,Central,Missouri,,,,,
November,2018,Central,Missouri,260,180.6738,4,4,4
December,2018,Central,Missouri,839.43,621.1782,1,1,1
January,2015,Central,Nebraska,,,,,
February,2015,Central,Nebraska,,,,,
March,2015,Central,Nebraska,,,,,
April,2015,Central,Nebraska,,,,,
May,2015,Central,Nebraska,,,,,
June,2015,Central,Nebraska,,,,,
July,2015,Central,Nebraska,35.98,25.9056,1,1,1
August,2015,Central,Nebraska,,,,,
September,2015,Central,Nebraska,68.71,47.190200000000004,3,3,3
October,2015,Central,Nebraska,15.36,7.68,1,1,1
November,2015,Central,Nebraska,89.97,71.0763,1,1,1
December,2015,Central,Nebraska,,,,,
January,2016,Central,Nebraska,,,,,
February,2016,Central,Nebraska,178.37,116.3042,2,2,2
March,2016,Central,Nebraska,,,,,
April,2016,Central,Nebraska,17.43,9.4122,1,1,1
May,2016,Central,Nebraska,,,,,
June,2016,Central,Nebraska,269.98,197.0854,1,1,1
July,2016,Central,Nebraska,,,,,
August,2016,Central,Nebraska,,,,,
September,2016,Central,Nebraska,,,,,
October,2016,Central,Nebraska,,,,,
November,2016,Central,Nebraska,,,,,
December,2016,Central,Nebraska,128.36,67.8724,3,3,3
January,2017,Central,Nebraska,,,,,
February,2017,Central,Nebraska,,,,,
March,2017,Central,Nebraska,,,,,
April,2017,Central,Nebraska,29.05,20.0445,1,1,1
May,2017,Central,Nebraska,,,,,
June,2017,Central,Nebraska,,,,,
July,2017,Central,Nebraska,,,,,
August,2017,Central,Nebraska,,,,,
September,2017,Central,Nebraska,2374.73,1678.4353,10,10,10
October,2017,Central,Nebraska,,,,,
November,2017,Central,Nebraska,,,,,
December,2017,Central,Nebraska,677.64,528.51,4,4,4
January,2018,Central,Nebraska,,,,,
February,2018,Central,Nebraska,,,,,
March,2018,Central,Nebraska,,,,,
April,2018,Central,Nebraska,,,,,
May,2018,Central,Nebraska,23.55,22.3725,1,1,1
June,2018,Central,Nebraska,73.97,38.8658,2,2,2
July,2018,Central,Nebraska,79.96,57.5712,1,1,1
August,2018,Central,Nebraska,,,,,
September,2018,Central,Nebraska,15.96,7.98,1,1,1
October,2018,Central,Nebraska,104.85,54.522,1,1,1
November,2018,Central,Nebraska,,,,,
December,2018,Central,Nebraska,3281.06,2477.0081999999998,4,4,4
January,2015,Central,North Dakota,,,,,
February,2015,Central,North Dakota,,,,,
March,2015,Central,North Dakota,,,,,
April,2015,Central,North Dakota,,,,,
May,2015,Central,North Dakota,,,,,
June,2015,Central,North Dakota,,,,,
July,2015,Central,North Dakota,,,,,
August,2015,Central,North Dakota,,,,,
September,2015,Central,North Dakota,,,,,
October,2015,Central,North Dakota,,,,,
November,2015,Central,North Dakota,,,,,
December,2015,Central,North Dakota,,,,,
January,2016,Central,North Dakota,,,,,
February,2016,Central,North Dakota,,,,,
March,2016,Central,North Dakota,,,,,
April,2016,Central,North Dakota,,,,,
May,2016,Central,North Dakota,,,,,
June,2016,Central,North Dakota,,,,,
July,2016,Central,North Dakota,,,,,
August,2016,Central,North Dakota,,,,,
September,2016,Central,North Dakota,,,,,
October,2016,Central,North Dakota,,,,,
November,2016,Central,North Dakota,,,,,
December,2016,Central,North Dakota,,,,,
January,2017,Central,North Dakota,,,,,
February,2017,Central,North Dakota,,,,,
March,2017,Central,North Dakota,,,,,
April,2017,Central,North Dakota,,,,,
May,2017,Central,North Dakota,,,,,
June,2017,Central,North Dakota,,,,,
July,2017,Central,North Dakota,,,,,
August,2017,Central,North Dakota,,,,,
September,2017,Central,North Dakota,,,,,
October,2017,Central,North Dakota,,,,,
November,2017,Central,North Dakota,,,,,
December,2017,Central,North Dakota,,,,,
January,2018,Central,North Dakota,,,,,
February,2018,Central,North Dakota,,,,,
March,2018,Central,North Dakota,,,,,
April,2018,Central,North Dakota,,,,,
May,2018,Central,North Dakota,891.53,674.9392999999999,5,5,5
June,2018,Central,North Dakota,,,,,
July,2018,Central,North Dakota,,,,,
August,2018,Central,North Dakota,,,,,
September,2018,Central,North Dakota,,,,,
October,2018,Central,North Dakota,,,,,
November,2018,Central,North Dakota,,,,,
December,2018,Central,North Dakota,28.38,14.821,2,2,2
January,2015,Central,Oklahoma,,,,,
February,2015,Central,Oklahoma,,,,,
March,2015,Central,Oklahoma,,,,,
April,2015,Central,Oklahoma,,,,,
May,2015,Central,Oklahoma,,,,,
June,2015,Central,Oklahoma,475.42,318.0034,2,2,2
July,2015,Central,Oklahoma,,,,,
August,2015,Central,Oklahoma,,,,,
September,2015,Central,Oklahoma,1683.97,1213.7062999999998,9,9,9
October,2015,Central,Oklahoma,,,,,
November,2015,Central,Oklahoma,,,,,
December,2015,Central,Oklahoma,479.96,345.5712,1,1,1
January,2016,Central,Oklahoma,,,,,
February,2016,Central,Oklahoma,,,,,
March,2016,Central,Oklahoma,,,,,
April,2016,Central,Oklahoma,,,,,
May,2016,Central,Oklahoma,,,,,
June,2016,Central,Oklahoma,,,,,
July,2016,Central,Oklahoma,,,,,
August,2016,Central,Oklahoma,,,,,
September,2016,Central,Oklahoma,836.88,616.1537999999999,2,2,2
October,2016,Central,Oklahoma,,,,,
November,2016,Central,Oklahoma,1971.46,1532.1462000000001,3,3,3
December,2016,Central,Oklahoma,,,,,
January,2017,Central,Oklahoma,1604.73,1248.957,2,2,2
February,2017,Central,Oklahoma,69.93,69.2307,1,1,1
March,2017,Central,Oklahoma,1287.45,1042.8345,1,1,1
April,2017,Central,Oklahoma,,,,,
May,2017,Central,Oklahoma,,,,,
June,2017,Central,Oklahoma,64.59,40.3851,2,2,2
July,2017,Central,Oklahoma,,,,,
August,2017,Central,Oklahoma,411.2,274.21979999999996,6,6,6
September,2017,Central,Oklahoma,12.86,6.8148,2,2,2
October,2017,Central,Oklahoma,1823.38,1368.4387000000002,11,11,11
November,2017,Central,Oklahoma,2671.77,2242.8472999999994,6,6,6
December,2017,Central,Oklahoma,63.88,38.9668,1,1,1
January,2018,Central,Oklahoma,,,,,
February,2018,Central,Oklahoma,19.67,14.359,2,2,2
March,2018,Central,Oklahoma,2131.74,1458.1392,2,2,2
April,2018,Central,Oklahoma,,,,,
May,2018,Central,Oklahoma,477.3,338.883,1,1,1
June,2018,Central,Oklahoma,,,,,
July,2018,Central,Oklahoma,935.74,652.1699,4,4,4
August,2018,Central,Oklahoma,,,,,
September,2018,Central,Oklahoma,291.96,189.774,1,1,1
October,2018,Central,Oklahoma,2320.54,1793.1372999999999,5,5,5
November,2018,Central,Oklahoma,38.16,19.08,1,1,1
December,2018,Central,Oklahoma,10.8,5.616,1,1,1
January,2015,Central,South Dakota,152.64,107.8716,2,2,2
February,2015,Central,South Dakota,,,,,
March,2015,Central,South Dakota,,,,,
April,2015,Central,South Dakota,,,,,
May,2015,Central,South Dakota,,,,,
June,2015,Central,South Dakota,,,,,
July,2015,Central,South Dakota,9.51,5.5218,2,2,2
August,2015,Central,South Dakota,,,,,
September,2015,Central,South Dakota,,,,,
October,2015,Central,South Dakota,,,,,
November,2015,Central,South Dakota,,,,,
December,2015,Central,South Dakota,,,,,
January,2016,Central,South Dakota,,,,,
February,2016,Central,South Dakota,,,,,
March,2016,Central,South Dakota,,,,,
April,2016,Central,South Dakota,,,,,
May,2016,Central,South Dakota,,,,,
June,2016,Central,South Dakota,,,,,
July,2016,Central,South Dakota,,,,,
August,2016,Central,South Dakota,,,,,
September,2016,Central,South Dakota,,,,,
October,2016,Central,South Dakota,,,,,
November,2016,Central,South Dakota,,,,,
December,2016,Central,South Dakota,,,,,
January,2017,Central,South Dakota,,,,,
February,2017,Central,South Dakota,,,,,
March,2017,Central,South Dakota,,,,,
April,2017,Central,South Dakota,,,,,
May,2017,Central,South Dakota,,,,,
June,2017,Central,South Dakota,,,,,
July,2017,Central,South Dakota,,,,,
August,2017,Central,South Dakota,,,,,
September,2017,Central,South Dakota,,,,,
October,2017,Central,South Dakota,,,,,
November,2017,Central,South Dakota,,,,,
December,2017,Central,South Dakota,,,,,
January,2018,Central,South Dakota,,,,,
February,2018,Central,South Dakota,,,,,
March,2018,Central,South Dakota,,,,,
April,2018,Central,South Dakota,,,,,
May,2018,Central,South Dakota,,,,,
June,2018,Central,South Dakota,,,,,
July,2018,Central,South Dakota,1127.91,788.4683,7,7,7
August,2018,Central,South Dakota,,,,,
September,2018,Central,South Dakota,,,,,
October,2018,Central,South Dakota,,,,,
November,2018,Central,South Dakota,25.5,18.87,1,1,1
December,2018,Central,South Dakota,,,,,
January,2015,Central,Texas,144.15,197.6429,5,5,5
February,2015,Central,Texas,74.364,98.7253,7,7,7
March,2015,Central,Texas,2895.818,3399.4946999999993,14,14,14
April,2015,Central,Texas,2722.772,2590.8792999999996,12,12,12
May,2015,Central,Texas,1955.357,2142.6343,17,17,17
June,2015,Central,Texas,2586.3196,2812.566799999999,17,17,17
July,2015,Central,Texas,6443.632,10447.893200000002,24,24,24
August,2015,Central,Texas,573.806,635.7792,5,5,5
September,2015,Central,Texas,19135.3578,22063.71119999999,34,34,34
October,2015,Central,Texas,3793.31,3102.0273,15,15,15
November,2015,Central,Texas,6385.7722,7905.981900000001,40,40,40
December,2015,Central,Texas,3914.518,4282.6945000000005,27,27,27
January,2016,Central,Texas,2084.2676,2447.7112,7,7,7
February,2016,Central,Texas,793.894,928.6030000000001,6,6,6
March,2016,Central,Texas,2746.624,2768.4195000000004,17,17,17
April,2016,Central,Texas,3584.932,5496.1995,30,30,30
May,2016,Central,Texas,3062.786,2961.9156,16,16,16
June,2016,Central,Texas,1636.828,1524.5241999999998,12,12,12
July,2016,Central,Texas,533.76,754.7278,8,8,8
August,2016,Central,Texas,4468.7232,4648.8663,19,19,19
September,2016,Central,Texas,2699.114,2237.7388,13,13,13
October,2016,Central,Texas,4151.591,4672.9721,20,20,20
November,2016,Central,Texas,4336.08,4336.1050000000005,34,34,34
December,2016,Central,Texas,4356.3592,4114.918500000001,21,21,21
January,2017,Central,Texas,441.188,433.9359,6,6,6
February,2017,Central,Texas,331.476,414.33079999999995,3,3,3
March,2017,Central,Texas,8013.805,8935.170399999999,25,25,25
April,2017,Central,Texas,4520.652,6261.77,14,14,14
May,2017,Central,Texas,2388.354,2576.0981,19,19,19
June,2017,Central,Texas,988.886,1241.0952,17,17,17
July,2017,Central,Texas,3387.706,3497.0402000000004,23,23,23
August,2017,Central,Texas,4847.5568,5194.589699999999,26,26,26
September,2017,Central,Texas,6652.3014,7678.7663999999995,31,31,31
October,2017,Central,Texas,980.516,1120.7363,19,19,19
November,2017,Central,Texas,5489.0868,5767.0596,46,46,46
December,2017,Central,Texas,3644.624,3719.9943,19,19,19
January,2018,Central,Texas,3210.428,4913.262699999999,18,18,18
February,2018,Central,Texas,1399.6024,2312.8777999999998,10,10,10
March,2018,Central,Texas,7950.3968,8205.1026,36,36,36
April,2018,Central,Texas,626.6676,931.3168999999999,15,15,15
