forbes_billionaires_geo.Rank,forbes_billionaires_geo.Name,forbes_billionaires_geo.Country,forbes_billionaires_geo.Source,Sum(forbes_billionaires_geo.Age),Sum(forbes_billionaires_geo.NetWorth),Sum(forbes_billionaires_geo.Children)
1362,Hua Xuande & family,China,pharmaceuticals,77,2.3,
1362,Jared Isaacman,United States,payment processing,38,2.3,
1362,Jerry Yang,United States,Yahoo,52,2.3,2
1362,Jiang Weiping & family,China,chemicals,66,2.3,
1362,Jim Coulter,United States,private equity,61,2.3,3
1362,Jim Kavanaugh,United States,IT provider,58,2.3,
1362,Jitendra Virwani,India,real estate,55,2.3,4
1362,Joao Moreira Salles,Brazil,"banking, minerals",59,2.3,1
1362,Joseph Grendys,United States,poultry processing,59,2.3,
1362,"Karl Scheufele, III. & family",Switzerland,jewelry,82,2.3,2
1362,Karl-Johan Persson,Sweden,H&M,46,2.3,2
1362,Katsumi Tada,Japan,real estate,75,2.3,3
1362,Kostyantin Zhevago,Ukraine,mining,47,2.3,2
1362,Krit Ratanarak,Thailand,"media, real estate",75,2.3,1
1362,Lai Jianfa,China,express delivery,,2.3,
1362,Lam Kong,China,pharmaceuticals,56,2.3,
1362,Lang Walker,Australia,real estate,75,2.3,3
1362,Li Xuhui,China,soy sauce,52,2.3,
1362,Liang Zhaoxian,China,appliances,56,2.3,
1362,Lindsay Fox,Australia,"logistics, real estate",84,2.3,5
1362,Liu Ming Chung,Brazil,paper,58,2.3,
1362,Maria Del Pino,Spain,construction,65,2.3,3
1362,Mario Germano Giuliani,Switzerland,pharmaceuticals,49,2.3,
1362,Michael Hintze,Australia,investment,67,2.3,4
1362,Michael Saylor,United States,cryptocurrency,56,2.3,
1362,Mustafa Rahmi Koc,Turkey,diversified,90,2.3,3
1362,Nihat Ozdemir,Turkey,diversified,71,2.3,2
1362,Noam Gottesman,United States,hedge funds,59,2.3,4
1362,Sandeep Engineer,India,plastic pipes,59,2.3,2
1362,Semahat Sevim Arsel,Turkey,diversified,92,2.3,
1362,Sezai Bacaksiz,Turkey,diversified,71,2.3,2
1362,Stephan Schmidheiny,Switzerland,investments,73,2.3,2
1362,Stewart Horejsi & family,United States,Berkshire Hathaway,83,2.3,2
1362,Stewart Rahr,United States,drug distribution,75,2.3,2
1362,Suhail Bahwan,Oman,diversified,82,2.3,15
1362,Sun Huaiqing & family,China,cosmetics,51,2.3,
1362,Susan Alfond,United States,shoes,75,2.3,3
1362,Sze Man Bok,China,hygiene products,71,2.3,1
1362,Ted Alfond,United States,shoes,76,2.3,3
1362,Ted Turner,United States,cable television,82,2.3,5
1362,Tom Persson,Sweden,H&M,36,2.3,
1362,Vanich Chaiyawan,Thailand,"insurance, beverages",89,2.3,8
1362,Vijay Shekhar Sharma,India,financial technology,42,2.3,1
1362,Walther Moreira Salles Junior,Brazil,"banking, minerals",65,2.3,1
1362,Wei Ying-Chiao,Taiwan,"food, beverages",66,2.3,5
1362,Wu Zhongyi,China,electronics,47,2.3,
1362,Xu Chuanhua & family,China,"chemicals, logistics",86,2.3,2
1362,Yang Weidong & family,China,chemicals,52,2.3,
1362,Zhang Xuezheng,China,telecom,45,2.3,
1362,Zhang Yin,China,paper manufacturing,64,2.3,2
1,Jeff Bezos,United States,Amazon,57,177,4
1111,Abdulla bin Ahmad Al Ghurair & family,United Arab Emirates,diversified,,2.8,
1111,Alan Howard,United Kingdom,hedge funds,57,2.8,4
1111,Alfred Oetker,Germany,consumer goods,54,2.8,
1111,Alicia Koplowitz,Spain,"construction, investments",67,2.8,3
1111,Aneel Bhusri,United States,business software,55,2.8,1
1111,August Oetker,Germany,consumer goods,76,2.8,
1111,Bai Baokun,China,hardware,,2.8,
1111,Bergit Douglas,Germany,consumer goods,74,2.8,5
1111,Carl Ferdinand Oetker,Germany,consumer goods,48,2.8,
1111,Chen Hua,China,real estate,55,2.8,
1111,Chen Huwen,China,stationery,50,2.8,
1111,Chen Huxiong,China,stationery,50,2.8,
1111,Chen Tianshi,China,semiconductors,36,2.8,
1111,Christian Oetker,Germany,consumer goods,72,2.8,
1111,David Baszucki,United States,online games,58,2.8,
1111,David Gottesman,United States,investments,95,2.8,3
1111,Deng Weiming & family,China,materials,52,2.8,
1111,Dinara Kulibaeva,Kazakhstan,banking,53,2.8,3
1111,Doris Fisher,United States,Gap,89,2.8,3
1111,"Drayton McLane, Jr.",United States,"Walmart, logistics",84,2.8,2
1111,Eva Maria Bucher-Haefner,Switzerland,"software, investments",64,2.8,2
1111,Filiz Sahenk,Turkey,diversified,54,2.8,
1111,Gary Friedman,United States,Furniture retail,63,2.8,2
1111,Hans Melchers,Netherlands,"chemicals, investments",83,2.8,2
1111,Heloise Pratt,Australia,"manufacturing, investment",58,2.8,3
1111,Hilton Schlosberg,United Kingdom,energy drinks,68,2.8,
1111,James Clark,United States,"Netscape, investments",77,2.8,4
1111,Jean Coutu & family,Canada,drugstores,93,2.8,5
1111,John Catsimatidis,United States,"oil, real estate",72,2.8,2
1111,John Henry,United States,sports,71,2.8,2
1111,Julia Oetker,Germany,consumer goods,42,2.8,
1111,Karin Schick,Germany,information technology,,2.8,
1111,Kenneth Tuchman,United States,outsourcing,61,2.8,2
1111,Konstantin Strukov,Russia,"gold, coal mining",62,2.8,2
1111,Lars Wingefors,Sweden,video games,44,2.8,
1111,Li Liufa & family,China,"steel, diversified",63,2.8,
1111,Li Sze Lim,Hong Kong,real estate,64,2.8,1
1111,Li Xiaohua & family,China,packaging,59,2.8,
1111,Liu Ming Hui,China,natural gas distribution,58,2.8,
1111,Lv Jianming,Hong Kong,medical equipment,56,2.8,
1111,Masateru Uno & family,Japan,drugstores,74,2.8,
1111,Micky Jagtiani,India,retail,69,2.8,3
1111,Morris Chang,Taiwan,semiconductors,89,2.8,1
1111,Nguyen Thi Phuong Thao,Vietnam,airlines,50,2.8,4
1111,Norman Braman,United States,"art, car dealerships",88,2.8,2
1111,Philip Niarchos,Greece,art collection,67,2.8,4
1111,Richard Oetker,Germany,consumer goods,70,2.8,
1111,Rosely Schweizer,Germany,consumer goods,80,2.8,3
1111,Rudy Ma,Taiwan,finance,80,2.8,2
1111,Stefan von Holtzbrinck,Germany,publishing,57,2.8,
1111,T. Denny Sanford,United States,"banking, credit cards",85,2.8,2
1111,Timur Kulibaev,Kazakhstan,banking,54,2.8,3
1111,Tony Xu,United States,food delivery service,36,2.8,
1111,Travis Kalanick,United States,Uber,44,2.8,
1111,Valentin Gapontsev & family,United States,lasers,82,2.8,1
1111,Vivek Chand Burman,India,consumer goods,84,2.8,2
1111,Warren Stephens,United States,investment banking,64,2.8,3
1111,William Ackman,United States,hedge funds,54,2.8,3
1111,Wong Kwong Yu & family,China,retail,51,2.8,2
1111,Xiong Wu,China,software,45,2.8,
1111,Xu Jinfu,China,chemicals,57,2.8,
1111,Xu Zhihan,China,electronics,48,2.8,
1111,Zhong Ruonong & family,China,electronics,58,2.8,
2378,Alan Zekelman,Canada,steel,58,1.2,
2378,Albert Shigaboutdinov,Russia,"refinery, chemicals",68,1.2,2
2378,Alexander Lutsenko & family,Russia,agribusiness,59,1.2,2
2378,Alexander Samwer,Germany,tech investments,46,1.2,1
2378,Alfredo Harp Helu & family,Mexico,banking,77,1.2,4
2378,Allan Wong,Hong Kong,electronics,71,1.2,2
2378,Anant Asavabhokin,Thailand,real estate,70,1.2,3
2378,Andrei Komarov,Russia,manufacturing,54,1.2,6
2378,Andrei Molchanov,Russia,construction materials,49,1.2,6
2378,Andrei Rappoport,Russia,investments,57,1.2,2
2378,Aras Agalarov,Russia,real estate,65,1.2,2
2378,Aydin Dogan,Turkey,media,85,1.2,4
2378,Benedicte Find,Denmark,medical devices,,1.2,
2378,Bill Malhotra,Canada,real estate,71,1.2,2
2378,Boris Rotenberg,Russia,"construction, pipes, chemicals",64,1.2,5
2378,Cao Kejian,China,air compressors,59,1.2,1
2378,Carl DeSantis,United States,energy drink,81,1.2,
2378,Chamath Palihapitiya,United States,â˜…,44,1.2,3
2378,Chen Gang,China,solar energy,53,1.2,
2378,Chen Tianqiao,China,online games,47,1.2,2
2378,Cheng Wei,China,ride-hailing service,38,1.2,
2378,Chey Ki-won,South Korea,"computer services, telecom",56,1.2,
2378,Chris Sacca,United States,venture capital investing,45,1.2,2
2378,Christian Bertermann,Germany,used car sales,37,1.2,
2378,Chua Thian Poh,Singapore,real estate,72,1.2,4
2378,Clement Fayat & family,France,construction,89,1.2,
2378,Dan Gertler,Israel,mining,47,1.2,11
2378,Dani Reiss,Canada,down jackets,47,1.2,
2378,Deng Hui & family,United States,software,59,1.2,
2378,Diego Della Valle,Italy,shoes,67,1.2,2
2378,Duke Reyes,United States,beer distribution,64,1.2,
2378,Edouard Carmignac,France,asset management,73,1.2,5
2378,Eren Ozmen,United States,aerospace,62,1.2,2
2378,Eugene Kaspersky,Russia,software,55,1.2,4
2378,Fan Zhaoxia & family,China,photovoltaic equipment,53,1.2,
2378,Fatih Ozmen,United States,aerospace,63,1.2,
2378,Frederic Luddy,United States,software,66,1.2,1
2378,G.V. Prasad,India,pharmaceuticals,60,1.2,3
2378,Gabriel Escarrer,Spain,hotels,86,1.2,6
2378,Gleb Fetisov,Russia,investments,54,1.2,3
2378,Guy LalibertÃ©,Canada,Cirque du Soleil,61,1.2,5
2378,Hajime Satomi,Japan,"video games, pachinko",79,1.2,3
2378,Hakan Koc,Germany,online car sales,36,1.2,
2378,Henry Cheng,Hong Kong,diversified,74,1.2,4
2378,Hong Seok-joh,South Korea,convenience stores,68,1.2,1
2378,Hu Xiaojun & family,China,airline,59,1.2,
2378,Huang Shanbing & family,China,semiconductors,64,1.2,
2378,Huang Yimeng,China,mobile games,39,1.2,
2378,J. Christopher Flowers,United States,investments,63,1.2,2
2378,James Scapa,United States,software,64,1.2,4
2378,Jaroslav Hascak,Slovakia,investments,51,1.2,
2378,Joe Lacob,United States,Golden State Warriors,65,1.2,4
2378,Jonas Kamprad,Sweden,IKEA,55,1.2,2
2378,Jorge Mas,United States,construction,58,1.2,3
2378,Kavita Singhania,India,cement,59,1.2,
2378,Kazutoshi Kobayashi,Japan,cosmetics,58,1.2,
2378,Kim Dae-il,South Korea,mobile gaming,41,1.2,1
2378,Kim Jung-woong,South Korea,cosmetics,46,1.2,1
2378,Koo Bon-joon,South Korea,"electronics, household products",69,1.2,2
2378,Koo Bon-neung,South Korea,electronics,72,1.2,2
2378,Koo Bon-sik,South Korea,LG,62,1.2,3
2378,Kwek Leng Peck,Singapore,diversified,65,1.2,
2378,Lance Gokongwei,Philippines,diversified,53,1.2,
2378,Laurie Tisch,United States,"insurance, NFL team",70,1.2,2
2378,Lawrence Golub,United States,private equity,61,1.2,
2378,Lee Jay-hyun,South Korea,"food products, entertainment",61,1.2,2
2378,Li Fengluan,China,"steel, diversified",59,1.2,
2378,Lin Jie & family,China,pharmaceuticals,52,1.2,
2378,Liora Ofer,Israel,investments,67,1.2,2
2378,Liu Baolin,China,pharmacies,67,1.2,2
2378,Liu Gexin & family,China,pharmaceuticals,69,1.2,1
2378,Lou Guoqiang,China,copper,64,1.2,
2378,Lu Shenglin,China,machinery,40,1.2,
2378,Lu Zhilin,China,machinery,38,1.2,
2378,Lun Ruixiang & family,China,real estate,53,1.2,
2378,Marc Samwer,Germany,tech investments,50,1.2,2
2378,Marek Dospiva,Czechia,investments,51,1.2,
2378,Masanori Kobayashi,Japan,cosmetics,48,1.2,
2378,Mathias Doepfner,Germany,media,58,1.2,
2378,Mathias Kamprad,Sweden,IKEA,51,1.2,2
2378,Mehmet Nazif Gunal,Turkey,"tourism, construction",73,1.2,3
2378,Michael Price,United States,investments,68,1.2,4
2378,Michael Steinhardt,United States,hedge funds,80,1.2,
2378,Mike Speiser,United States,software,50,1.2,
2378,Mou Jinxiang,China,chemicals,67,1.2,
2378,Muneaki Masuda,Japan,retail,70,1.2,2
2378,Murdaya Poo,Indonesia,diversified,80,1.2,4
2378,Nguyen Dang Quang,Vietnam,"consumer products, banking",57,1.2,3
2378,Nik Storonsky,United Kingdom,fintech,36,1.2,2
2378,Nutchamai Thanombooncharoen,Thailand,energy drinks,59,1.2,2
2378,Peter Kamprad,Sweden,IKEA,57,1.2,2
2378,Premchand Godha,India,pharmaceuticals,74,1.2,2
2378,Qin Qingping & family,China,coal & coke,58,1.2,
2378,Qiu Dongxu,Canada,pharmaceutical,61,1.2,
2378,Rao Wei & family,China,pharmaceuticals,56,1.2,
2378,Ren Zhengfei,China,telecom equipment,77,1.2,
2378,Robert Toll,United States,home building,80,1.2,5
2378,Roberto Ongpin,Philippines,diversified,84,1.2,4
2378,Ronald Clarke,United States,payments technology,65,1.2,2
2378,Ronald Slabke,Germany,fintech,,1.2,
2378,Rustem Sulteev,Russia,"refinery, chemicals",67,1.2,2
2378,Ryan Graves,United States,Uber,37,1.2,4
2378,Sachin Bansal,India,flipkart,39,1.2,1
2378,Sam Tarascio,Australia,real estate,76,1.2,3
2378,Sandor Csanyi,Hungary,"finance, real estate",68,1.2,5
2378,Sergei Sudarikov,Russia,"finance, development",49,1.2,3
2378,Shay Banon,Israel,search engine,43,1.2,
2378,Simon Nixon,United Kingdom,price comparison website,53,1.2,
2378,Stelios Haji-Ioannou,Cyprus,EasyJet,54,1.2,
2378,Steven Tisch,United States,insurance,72,1.2,5
2378,Syed Mokhtar AlBukhary,Malaysia,"engineering, energy, construction",69,1.2,5
2378,Taichiro Motoe,Japan,Internet services,45,1.2,
2378,Takao Kobayashi,Japan,cosmetics,56,1.2,
2378,Thomas Bailey,United States,money management,84,1.2,2
2378,Thomas Tull,United States,"movies, investments",50,1.2,
2378,Thomas von Koch,Sweden,asset management,55,1.2,
2378,Thongma Vijitpongpun,Thailand,real estate,63,1.2,1
2378,Udo Mueller,Germany,advertising,59,1.2,
2378,Ulrich Mommert & family,Austria,lighting,80,1.2,
2378,Wan Feng & family,China,medical equipment,52,1.2,
2378,Wang Fuji,China,pharmaceuticals,,1.2,
2378,Wang Jianyi,China,fiber optic cables,58,1.2,
2378,Wang Qunbin,China,conglomerate,,1.2,
2378,Wang Ren-sheng,Taiwan,retail,89,1.2,3
2378,Wang Shumin,China,manufacturing,64,1.2,
2378,Wesley Edens,United States,investments,59,1.2,4
2378,Winarko Sulistyo,Indonesia,paper and pulp,75,1.2,1
2378,Wolfgang Egger,Germany,real estate,55,1.2,1
2378,Wu Li-gann,Taiwan,electronic components,80,1.2,
2378,Xiang Guangda,China,metals,63,1.2,
2378,Xiong Haitao,China,plastics/investment,57,1.2,
2378,Xu Guifen & family,China,food,70,1.2,
2378,Yao Liangbo,China,furniture retailing,52,1.2,
2378,Yi Xianzhong & family,China,pharmaceuticals,62,1.2,
2378,Yu Xuefeng,Canada,pharmaceuticals,58,1.2,
2378,Yuan Jiandong & family,China,pharmaceuticals,,1.2,
2378,Zhang Chuanwei & family,China,machinery,58,1.2,
2378,Zhang Xi,China,chemicals,47,1.2,
2378,Zhang Xuanning,China,retail,50,1.2,
2378,Zhao Dongping,China,technology,44,1.2,
2378,Zheng Jianjiang & family,China,electrical equipment,60,1.2,
2378,Zheng Xiaodong,China,manufacturing,57,1.2,
2378,Zhou Minghua,China,pharmaceutical,57,1.2,
2378,Zhou Ruxin,China,Navigation,58,1.2,
2378,Zhou Wen & family,China,chemicals,56,1.2,
2378,Zhou Yifeng & family,China,liquefied petroleum gas,42,1.2,
2141,Airat Shaimiev,Russia,"refinery, chemicals",59,1.4,
2141,Alberto Alcocer,Spain,investments,78,1.4,5
2141,Alexander Tedja,Indonesia,real estate,75,1.4,4
2141,Alexandra Andresen,Norway,investments,24,1.4,
2141,"Alfred West, Jr.",United States,money management,78,1.4,3
2141,Amnon Shashua,Israel,automotive technology,60,1.4,
2141,Ana Lucia de Mattos Barretto Villela,Brazil,banking,47,1.4,
2141,Anatoly Lomakin,Russia,investments,68,1.4,2
2141,Andreas Pohl,Germany,mutual funds,56,1.4,3
2141,Andrei Kosogov,Russia,banking,60,1.4,3
2141,Angela Bennett,Australia,mining,77,1.4,7
2141,Anna Maria Braun,Germany,medical technology,42,1.4,2
2141,Antonio Marcegaglia,Italy,steel,57,1.4,
2141,Anu Aga,India,engineering,78,1.4,1
2141,Archie Hwang,Taiwan,semiconductors,68,1.4,
2141,Balkrishan Goenka,India,textiles,54,1.4,2
2141,Binod Chaudhary,Nepal,diversified,66,1.4,3
2141,Cai Hao & family,China,solar energy,50,1.4,
2141,Chen Liying,China,package delivery,45,1.4,
2141,Chen Qixing,China,electronics components,61,1.4,
2141,Chen Zhuolin,China,real estate,59,1.4,2
2141,Christian Herz,Germany,coffee,,1.4,
2141,Christine Knauf,Germany,building materials,,1.4,
2141,Clayton Zekelman,Canada,steel,52,1.4,
2141,Clifford Asness,United States,money management,54,1.4,4
2141,Daniel Hirschfeld,United States,fashion retail,79,1.4,3
2141,Darwin Deason,United States,software,80,1.4,3
2141,Drorit Wertheim,Israel,Coca Cola Israel,65,1.4,2
2141,Edward Stack,United States,Dick's Sporting Goods,66,1.4,
2141,Emma Marcegaglia,Italy,steel,55,1.4,
2141,Fang Zhancheng,China,soy sauce,,1.4,
2141,Farkhad Akhmedov,Russia,investments,65,1.4,3
2141,Fernando Chico Pardo,Mexico,airport management,69,1.4,3
2141,Francis Holder,France,bakeries,80,1.4,3
2141,Gao Yunfeng,China,industrial lasers,54,1.4,
2141,Gisele Trajano,Brazil,retail,,1.4,
2141,Guilherme Peirao Leal,Brazil,cosmetics,71,1.4,5
2141,He Ningning,China,electronic components,50,1.4,
2141,He Yamin & family,China,manufacturing,64,1.4,
2141,Hu Chengzhong,China,manufacturing,60,1.4,
2141,Hu Gengxi & family,China,Bio-Pharma,57,1.4,
2141,Huang Hongyun & family,China,real estate,54,1.4,2
2141,Huang Jian,China,home appliance,54,1.4,
2141,Huang Weibin,China,home appliances,53,1.4,
2141,Huang Xiaofen & family,China,printed circuit boards,59,1.4,
2141,Ilson Mateus,Brazil,supermarkets,58,1.4,3
2141,Inigo Zobel,Philippines,diversified,64,1.4,
2141,Itaru Tanimura,Japan,heathcare,56,1.4,
2141,James Duff,United States,"tires, diversified",60,1.4,2
2141,Jayme Garfinkel,Brazil,insurance,75,1.4,2
2141,Jayshree Ullal,United States,computer networking,60,1.4,2
2141,Jay-Z,United States,Multiple,51,1.4,3
2141,Jean-Paul Clozel,Switzerland,pharmaceuticals,66,1.4,
2141,Jim Crane,United States,"logistics, baseball",67,1.4,3
2141,Jim Thompson,United States,logistics,81,1.4,2
2141,Jitse Groen,Netherlands,food delivery service,42,1.4,
2141,Johan Johannson,Norway,grocery stores,54,1.4,3
2141,Johanna Braun,Germany,medical technology,41,1.4,
2141,John Ocampo,United States,semiconductors,62,1.4,3
2141,Jonathan Oringer,United States,stock photos,47,1.4,
2141,Jonathan Tisch,United States,"insurance, NFL team",67,1.4,2
2141,Judith Neilson,Australia,investments,75,1.4,2
2141,Karl Friedrich Braun,Germany,medical technology,38,1.4,
2141,Karl Knauf,Germany,building materials,,1.4,
2141,Katharina Andresen,Norway,investments,25,1.4,
2141,Keith Dunleavy & family,United States,health IT,51,1.4,4
2141,Kerr Neilson,Australia,investments,71,1.4,2
2141,Li Denghai,China,seed production,71,1.4,
2141,Liang Qin & family,China,semiconductor devices,49,1.4,
2141,Liang Yaoming,China,diagnostics,57,1.4,
2141,Liu Hua,China,infant formula,48,1.4,
2141,Liu Xuejing & family,China,"copper, poultry",70,1.4,
2141,Lloyd Frink,United States,Zillow,56,1.4,2
2141,Louis Bacon,United States,hedge funds,64,1.4,7
2141,Lu Rongfu,China,telecommunication,50,1.4,
2141,Martin Selig,United States,real estate,83,1.4,3
2141,Maurizio Billi,Brazil,generic drugs,63,1.4,
2141,Michael Spencer,United Kingdom,stock exchange,65,1.4,3
2141,Michaela Herz,Germany,coffee,,1.4,
2141,Mimi Haas,United States,Levi's jeans,74,1.4,
2141,Mori Arkin,Israel,pharmaceuticals,68,1.4,3
2141,Nigel Austin,Australia,retail,50,1.4,6
2141,Nirmal Minda,India,auto parts,63,1.4,2
2141,Nobutoshi Shimamura,Japan,retail,95,1.4,3
2141,Oliver Samwer,Germany,tech investments,47,1.4,3
2141,Qi Jinxing,China,real estate,59,1.4,1
2141,Qian Jinghong,China,electric scooters,48,1.4,
2141,"Reinfried Pohl, Jr.",Germany,mutual funds,61,1.4,5
2141,Richard Hayne,United States,Urban Outfitters,73,1.4,
2141,"Richard Yuengling, Jr.",United States,beer,78,1.4,4
2141,Robert Mouawad,Lebanon,fine jewelry,76,1.4,3
2141,Samuel Barata,Brazil,drugstores,83,1.4,
2141,Scott Kapnick,United States,private equity,62,1.4,
2141,Sefik Yilmaz Dizdar,Turkey,fashion retail,83,1.4,
2141,Shusheng Zheng,China,telecom,55,1.4,
2141,Sidney Kimmel,United States,retail,93,1.4,
2141,Sukanto Tanoto,Indonesia,diversified,71,1.4,4
2141,Sunny Varkey,India,education,64,1.4,2
2141,Swift Xie,China,drones,41,1.4,
2141,Tan Ruiqing,China,chemicals,54,1.4,
2141,Terence (Terry) Matthews,Canada,telecom,78,1.4,4
2141,Theodore Leonsis,United States,sports teams,65,1.4,2
2141,Thomas Duff,United States,"tires, diversified",64,1.4,2
2141,Thomas Steyer,United States,hedge funds,63,1.4,4
2141,Timothy Headington,United States,"oil & gas, investments",71,1.4,
2141,Trevor Milton,United States,â˜…,39,1.4,
2141,Vadim Novinsky,Ukraine,steel,57,1.4,3
2141,Vardis Vardinoyannis & family,Greece,oil and gas,88,1.4,5
2141,Vito Rodriguez Rodriguez,Peru,processed milk,82,1.4,3
2141,Wang Jianfeng & family,China,auto parts,,1.4,
2141,Wang Junjin,China,airline,52,1.4,
2141,Wang Mingwang,China,electronics components,54,1.4,
2141,Wang Xiaoshen,China,lithium,52,1.4,
2141,Werner O. Weber,Switzerland,electronic components,82,1.4,
2141,Wilma Tisch,United States,diversified,93,1.4,4
2141,Wu Po Sum,China,real estate,70,1.4,
2141,Xie Ketao,China,education,57,1.4,
2141,Yu Guo,China,education,59,1.4,
2141,Zadik Bino & family,Israel,"banking, oil",77,1.4,3
2141,Zheng Hong & family,China,electronics,70,1.4,
2141,Zhuo Jun,Hong Kong,printed circuit boards,55,1.4,
2141,Ziv Aviram,Israel,automotive technology,62,1.4,
1008,Alec Gores,United States,private equity,68,3,6
1008,Allan Goldman,United States,real estate,78,3,4
1008,Amy Goldman Fowler,United States,real estate,67,3,
1008,Andrew Tan,Philippines,diversified,71,3,4
1008,Behdad Eghbali,United States,private equity,45,3,
1008,Ben Chestnut,United States,email marketing,46,3,2
1008,Cameron Winklevoss,United States,cryptocurrency,39,3,
1008,Carl Douglas,Sweden,investments,60,3,
1008,Christian Haub,Germany,retail,56,3,4
1008,Dan Kurzius,United States,email marketing,49,3,2
1008,Diane Kemper,United States,real estate,75,3,
1008,Eddy Kusnadi Sariaatmadja,Indonesia,"media, tech",67,3,4
1008,Eric Douglas,Sweden,investments,53,3,
1008,Ferit Faik Sahenk,Turkey,diversified,57,3,1
1008,Friede Springer,Germany,publishing,78,3,
1008,Gan Zhongru,China,pharmaceuticals,72,3,
1008,Geoffrey Kwok,Hong Kong,real estate,36,3,
1008,George Kurtz,United States,security software,50,3,2
1008,Gil Shwed,Israel,software,52,3,
1008,Gudrun Heine,Germany,medical devices,66,3,
1008,Haim Saban,United States,"TV network, investments",76,3,4
1008,Hans Sy,Philippines,diversified,65,3,4
1008,Herbert Sy,Philippines,diversified,64,3,
1008,Huang Jinfeng,China,e-commerce,38,3,
1008,Huang Rulun,China,real estate,69,3,2
1008,James Irsay,United States,Indianapolis Colts,61,3,3
1008,James Leprino,United States,cheese,83,3,2
1008,Jeffrey Lurie,United States,Philadelphia Eagles,69,3,2
1008,Jimmy Haslam,United States,"gas stations, retail",67,3,3
1008,John Coates,United Kingdom,online gambling,51,3,2
1008,Jose E. Feliciano,United States,private equity,47,3,
1008,Joseph Liemandt,United States,software,52,3,
1008,Justin Ishbia,United States,â˜…,43,3,2
1008,Koos Bekker,South Africa,"media, investments",68,3,2
1008,Kwek Leng Beng,Singapore,diversified,80,3,2
1008,Louis Le Duff,France,bakeries,74,3,2
1008,Or Wai Sheun,Hong Kong,real estate,69,3,2
1008,P.V. Ramprasad Reddy,India,pharmaceuticals,63,3,2
1008,Pat Stryker,United States,medical equipment,65,3,3
1008,Pedro de Godoy Bueno,Brazil,health insurance,31,3,
1008,Peter Grogg,Switzerland,biochemicals,79,3,
1008,Peter Lim,Singapore,investments,67,3,2
1008,Philippe Foriel-Destezet,France,employment agency,85,3,4
1008,Richard White,Australia,software,66,3,2
1008,Sheldon Lavin,United States,meat processing,88,3,
1008,Song Zuowen,China,"aluminum, diversified",74,3,2
1008,Sybill Storz,Germany,medical devices,84,3,1
1008,Tian Ming,China,measuring instruments,67,3,
1008,Tom Morris,United Kingdom,retail,66,3,
1008,Tyler Winklevoss,United States,cryptocurrency,39,3,
1008,Wang Changtian,China,"TV, movie production",56,3,
1008,Wilhelm Beier & family,Germany,pharmaceuticals,65,3,
1008,Xia Zuoquan,China,automobiles,59,3,
1008,Yin Xin,China,video streaming app,36,3,
1008,Zhang Lei,China,investments,48,3,2
1008,Zhu Xingming,China,electrical equipment,54,3,
1580,Alain Taravella,France,real estate development,73,2,
1580,Alberto Prada,Italy,luxury goods,67,2,
1580,Alexander Svetakov,Russia,real estate,53,2,4
1580,Amy Wyss,United States,medical equipment,50,2,
1580,Andy Fang,United States,food delivery app,28,2,
1580,Anne Beaufour,France,pharmaceuticals,57,2,
1580,Arvind Tiku,India,"oil & gas, investments",51,2,2
1580,Bahaa Hariri,Lebanon,"real estate, investments",55,2,
