forbes_billionaires_geo.Rank,forbes_billionaires_geo.Name,forbes_billionaires_geo.Country,forbes_billionaires_geo.Source,Sum(forbes_billionaires_geo.NetWorth),Sum(forbes_billionaires_geo.Age),Sum(forbes_billionaires_geo.Children)
1111,Alicia Koplowitz,Spain,"construction, investments",2.8,67,3
1111,Aneel Bhusri,United States,business software,2.8,55,1
1111,August Oetker,Germany,consumer goods,2.8,76,
1111,Bai Baokun,China,hardware,2.8,,
1111,Bergit Douglas,Germany,consumer goods,2.8,74,5
1111,Carl Ferdinand Oetker,Germany,consumer goods,2.8,48,
1111,Chen Hua,China,real estate,2.8,55,
1111,Chen Huwen,China,stationery,2.8,50,
1111,Chen Huxiong,China,stationery,2.8,50,
1111,Chen Tianshi,China,semiconductors,2.8,36,
1111,Christian Oetker,Germany,consumer goods,2.8,72,
1111,David Baszucki,United States,online games,2.8,58,
1111,David Gottesman,United States,investments,2.8,95,3
1111,Deng Weiming & family,China,materials,2.8,52,
1111,Dinara Kulibaeva,Kazakhstan,banking,2.8,53,3
1111,Doris Fisher,United States,Gap,2.8,89,3
1111,"Drayton McLane, Jr.",United States,"Walmart, logistics",2.8,84,2
1111,Eva Maria Bucher-Haefner,Switzerland,"software, investments",2.8,64,2
1111,Filiz Sahenk,Turkey,diversified,2.8,54,
1111,Gary Friedman,United States,Furniture retail,2.8,63,2
1111,Hans Melchers,Netherlands,"chemicals, investments",2.8,83,2
1111,Heloise Pratt,Australia,"manufacturing, investment",2.8,58,3
1111,Hilton Schlosberg,United Kingdom,energy drinks,2.8,68,
1111,James Clark,United States,"Netscape, investments",2.8,77,4
1111,Jean Coutu & family,Canada,drugstores,2.8,93,5
1111,John Catsimatidis,United States,"oil, real estate",2.8,72,2
1111,John Henry,United States,sports,2.8,71,2
1111,Julia Oetker,Germany,consumer goods,2.8,42,
1111,Karin Schick,Germany,information technology,2.8,,
1111,Kenneth Tuchman,United States,outsourcing,2.8,61,2
1111,Konstantin Strukov,Russia,"gold, coal mining",2.8,62,2
1111,Lars Wingefors,Sweden,video games,2.8,44,
1111,Li Liufa & family,China,"steel, diversified",2.8,63,
1111,Li Sze Lim,Hong Kong,real estate,2.8,64,1
1111,Li Xiaohua & family,China,packaging,2.8,59,
1111,Liu Ming Hui,China,natural gas distribution,2.8,58,
1111,Lv Jianming,Hong Kong,medical equipment,2.8,56,
1111,Masateru Uno & family,Japan,drugstores,2.8,74,
1111,Micky Jagtiani,India,retail,2.8,69,3
1111,Morris Chang,Taiwan,semiconductors,2.8,89,1
1111,Nguyen Thi Phuong Thao,Vietnam,airlines,2.8,50,4
1111,Norman Braman,United States,"art, car dealerships",2.8,88,2
1111,Philip Niarchos,Greece,art collection,2.8,67,4
1111,Richard Oetker,Germany,consumer goods,2.8,70,
1111,Rosely Schweizer,Germany,consumer goods,2.8,80,3
1111,Rudy Ma,Taiwan,finance,2.8,80,2
1111,Stefan von Holtzbrinck,Germany,publishing,2.8,57,
1111,T. Denny Sanford,United States,"banking, credit cards",2.8,85,2
1111,Timur Kulibaev,Kazakhstan,banking,2.8,54,3
1111,Tony Xu,United States,food delivery service,2.8,36,
1111,Travis Kalanick,United States,Uber,2.8,44,
1111,Valentin Gapontsev & family,United States,lasers,2.8,82,1
1111,Vivek Chand Burman,India,consumer goods,2.8,84,2
1111,Warren Stephens,United States,investment banking,2.8,64,3
1111,William Ackman,United States,hedge funds,2.8,54,3
1111,Wong Kwong Yu & family,China,retail,2.8,51,2
1111,Xiong Wu,China,software,2.8,45,
1111,Xu Jinfu,China,chemicals,2.8,57,
1111,Xu Zhihan,China,electronics,2.8,48,
1111,Zhong Ruonong & family,China,electronics,2.8,58,
2378,Alan Zekelman,Canada,steel,1.2,58,
2378,Albert Shigaboutdinov,Russia,"refinery, chemicals",1.2,68,2
2378,Alexander Lutsenko & family,Russia,agribusiness,1.2,59,2
2378,Alexander Samwer,Germany,tech investments,1.2,46,1
2378,Alfredo Harp Helu & family,Mexico,banking,1.2,77,4
2378,Allan Wong,Hong Kong,electronics,1.2,71,2
2378,Anant Asavabhokin,Thailand,real estate,1.2,70,3
2378,Andrei Komarov,Russia,manufacturing,1.2,54,6
2378,Andrei Molchanov,Russia,construction materials,1.2,49,6
2378,Andrei Rappoport,Russia,investments,1.2,57,2
2378,Aras Agalarov,Russia,real estate,1.2,65,2
2378,Aydin Dogan,Turkey,media,1.2,85,4
2378,Benedicte Find,Denmark,medical devices,1.2,,
2378,Bill Malhotra,Canada,real estate,1.2,71,2
2378,Boris Rotenberg,Russia,"construction, pipes, chemicals",1.2,64,5
2378,Cao Kejian,China,air compressors,1.2,59,1
2378,Carl DeSantis,United States,energy drink,1.2,81,
2378,Chamath Palihapitiya,United States,â˜…,1.2,44,3
2378,Chen Gang,China,solar energy,1.2,53,
2378,Chen Tianqiao,China,online games,1.2,47,2
2378,Cheng Wei,China,ride-hailing service,1.2,38,
2378,Chey Ki-won,South Korea,"computer services, telecom",1.2,56,
2378,Chris Sacca,United States,venture capital investing,1.2,45,2
2378,Christian Bertermann,Germany,used car sales,1.2,37,
2378,Chua Thian Poh,Singapore,real estate,1.2,72,4
2378,Clement Fayat & family,France,construction,1.2,89,
2378,Dan Gertler,Israel,mining,1.2,47,11
2378,Dani Reiss,Canada,down jackets,1.2,47,
2378,Deng Hui & family,United States,software,1.2,59,
2378,Diego Della Valle,Italy,shoes,1.2,67,2
2378,Duke Reyes,United States,beer distribution,1.2,64,
2378,Edouard Carmignac,France,asset management,1.2,73,5
2378,Eren Ozmen,United States,aerospace,1.2,62,2
2378,Eugene Kaspersky,Russia,software,1.2,55,4
2378,Fan Zhaoxia & family,China,photovoltaic equipment,1.2,53,
2378,Fatih Ozmen,United States,aerospace,1.2,63,
2378,Frederic Luddy,United States,software,1.2,66,1
2378,G.V. Prasad,India,pharmaceuticals,1.2,60,3
2378,Gabriel Escarrer,Spain,hotels,1.2,86,6
2378,Gleb Fetisov,Russia,investments,1.2,54,3
2378,Guy LalibertÃ©,Canada,Cirque du Soleil,1.2,61,5
2378,Hajime Satomi,Japan,"video games, pachinko",1.2,79,3
2378,Hakan Koc,Germany,online car sales,1.2,36,
2378,Henry Cheng,Hong Kong,diversified,1.2,74,4
2378,Hong Seok-joh,South Korea,convenience stores,1.2,68,1
2378,Hu Xiaojun & family,China,airline,1.2,59,
2378,Huang Shanbing & family,China,semiconductors,1.2,64,
2378,Huang Yimeng,China,mobile games,1.2,39,
2378,J. Christopher Flowers,United States,investments,1.2,63,2
2378,James Scapa,United States,software,1.2,64,4
2378,Jaroslav Hascak,Slovakia,investments,1.2,51,
2378,Joe Lacob,United States,Golden State Warriors,1.2,65,4
2378,Jonas Kamprad,Sweden,IKEA,1.2,55,2
2378,Jorge Mas,United States,construction,1.2,58,3
2378,Kavita Singhania,India,cement,1.2,59,
2378,Kazutoshi Kobayashi,Japan,cosmetics,1.2,58,
2378,Kim Dae-il,South Korea,mobile gaming,1.2,41,1
2378,Kim Jung-woong,South Korea,cosmetics,1.2,46,1
2378,Koo Bon-joon,South Korea,"electronics, household products",1.2,69,2
2378,Koo Bon-neung,South Korea,electronics,1.2,72,2
2378,Koo Bon-sik,South Korea,LG,1.2,62,3
2378,Kwek Leng Peck,Singapore,diversified,1.2,65,
2378,Lance Gokongwei,Philippines,diversified,1.2,53,
2378,Laurie Tisch,United States,"insurance, NFL team",1.2,70,2
2378,Lawrence Golub,United States,private equity,1.2,61,
2378,Lee Jay-hyun,South Korea,"food products, entertainment",1.2,61,2
2378,Li Fengluan,China,"steel, diversified",1.2,59,
2378,Lin Jie & family,China,pharmaceuticals,1.2,52,
2378,Liora Ofer,Israel,investments,1.2,67,2
2378,Liu Baolin,China,pharmacies,1.2,67,2
2378,Liu Gexin & family,China,pharmaceuticals,1.2,69,1
2378,Lou Guoqiang,China,copper,1.2,64,
2378,Lu Shenglin,China,machinery,1.2,40,
2378,Lu Zhilin,China,machinery,1.2,38,
2378,Lun Ruixiang & family,China,real estate,1.2,53,
2378,Marc Samwer,Germany,tech investments,1.2,50,2
2378,Marek Dospiva,Czechia,investments,1.2,51,
2378,Masanori Kobayashi,Japan,cosmetics,1.2,48,
2378,Mathias Doepfner,Germany,media,1.2,58,
2378,Mathias Kamprad,Sweden,IKEA,1.2,51,2
2378,Mehmet Nazif Gunal,Turkey,"tourism, construction",1.2,73,3
2378,Michael Price,United States,investments,1.2,68,4
2378,Michael Steinhardt,United States,hedge funds,1.2,80,
2378,Mike Speiser,United States,software,1.2,50,
2378,Mou Jinxiang,China,chemicals,1.2,67,
2378,Muneaki Masuda,Japan,retail,1.2,70,2
2378,Murdaya Poo,Indonesia,diversified,1.2,80,4
2378,Nguyen Dang Quang,Vietnam,"consumer products, banking",1.2,57,3
2378,Nik Storonsky,United Kingdom,fintech,1.2,36,2
2378,Nutchamai Thanombooncharoen,Thailand,energy drinks,1.2,59,2
2378,Peter Kamprad,Sweden,IKEA,1.2,57,2
2378,Premchand Godha,India,pharmaceuticals,1.2,74,2
2378,Qin Qingping & family,China,coal & coke,1.2,58,
2378,Qiu Dongxu,Canada,pharmaceutical,1.2,61,
2378,Rao Wei & family,China,pharmaceuticals,1.2,56,
2378,Ren Zhengfei,China,telecom equipment,1.2,77,
2378,Robert Toll,United States,home building,1.2,80,5
2378,Roberto Ongpin,Philippines,diversified,1.2,84,4
2378,Ronald Clarke,United States,payments technology,1.2,65,2
2378,Ronald Slabke,Germany,fintech,1.2,,
2378,Rustem Sulteev,Russia,"refinery, chemicals",1.2,67,2
2378,Ryan Graves,United States,Uber,1.2,37,4
2378,Sachin Bansal,India,flipkart,1.2,39,1
2378,Sam Tarascio,Australia,real estate,1.2,76,3
2378,Sandor Csanyi,Hungary,"finance, real estate",1.2,68,5
2378,Sergei Sudarikov,Russia,"finance, development",1.2,49,3
2378,Shay Banon,Israel,search engine,1.2,43,
2378,Simon Nixon,United Kingdom,price comparison website,1.2,53,
2378,Stelios Haji-Ioannou,Cyprus,EasyJet,1.2,54,
2378,Steven Tisch,United States,insurance,1.2,72,5
2378,Syed Mokhtar AlBukhary,Malaysia,"engineering, energy, construction",1.2,69,5
2378,Taichiro Motoe,Japan,Internet services,1.2,45,
2378,Takao Kobayashi,Japan,cosmetics,1.2,56,
2378,Thomas Bailey,United States,money management,1.2,84,2
2378,Thomas Tull,United States,"movies, investments",1.2,50,
2378,Thomas von Koch,Sweden,asset management,1.2,55,
2378,Thongma Vijitpongpun,Thailand,real estate,1.2,63,1
2378,Udo Mueller,Germany,advertising,1.2,59,
2378,Ulrich Mommert & family,Austria,lighting,1.2,80,
2378,Wan Feng & family,China,medical equipment,1.2,52,
2378,Wang Fuji,China,pharmaceuticals,1.2,,
2378,Wang Jianyi,China,fiber optic cables,1.2,58,
2378,Wang Qunbin,China,conglomerate,1.2,,
2378,Wang Ren-sheng,Taiwan,retail,1.2,89,3
2378,Wang Shumin,China,manufacturing,1.2,64,
2378,Wesley Edens,United States,investments,1.2,59,4
2378,Winarko Sulistyo,Indonesia,paper and pulp,1.2,75,1
2378,Wolfgang Egger,Germany,real estate,1.2,55,1
2378,Wu Li-gann,Taiwan,electronic components,1.2,80,
2378,Xiang Guangda,China,metals,1.2,63,
2378,Xiong Haitao,China,plastics/investment,1.2,57,
2378,Xu Guifen & family,China,food,1.2,70,
2378,Yao Liangbo,China,furniture retailing,1.2,52,
2378,Yi Xianzhong & family,China,pharmaceuticals,1.2,62,
2378,Yu Xuefeng,Canada,pharmaceuticals,1.2,58,
2378,Yuan Jiandong & family,China,pharmaceuticals,1.2,,
2378,Zhang Chuanwei & family,China,machinery,1.2,58,
2378,Zhang Xi,China,chemicals,1.2,47,
2378,Zhang Xuanning,China,retail,1.2,50,
2378,Zhao Dongping,China,technology,1.2,44,
2378,Zheng Jianjiang & family,China,electrical equipment,1.2,60,
2378,Zheng Xiaodong,China,manufacturing,1.2,57,
2378,Zhou Minghua,China,pharmaceutical,1.2,57,
2378,Zhou Ruxin,China,Navigation,1.2,58,
2378,Zhou Wen & family,China,chemicals,1.2,56,
2378,Zhou Yifeng & family,China,liquefied petroleum gas,1.2,42,
2141,Airat Shaimiev,Russia,"refinery, chemicals",1.4,59,
2141,Alberto Alcocer,Spain,investments,1.4,78,5
2141,Alexander Tedja,Indonesia,real estate,1.4,75,4
2141,Alexandra Andresen,Norway,investments,1.4,24,
2141,"Alfred West, Jr.",United States,money management,1.4,78,3
2141,Amnon Shashua,Israel,automotive technology,1.4,60,
2141,Ana Lucia de Mattos Barretto Villela,Brazil,banking,1.4,47,
2141,Anatoly Lomakin,Russia,investments,1.4,68,2
2141,Andreas Pohl,Germany,mutual funds,1.4,56,3
2141,Andrei Kosogov,Russia,banking,1.4,60,3
2141,Angela Bennett,Australia,mining,1.4,77,7
2141,Anna Maria Braun,Germany,medical technology,1.4,42,2
2141,Antonio Marcegaglia,Italy,steel,1.4,57,
2141,Anu Aga,India,engineering,1.4,78,1
2141,Archie Hwang,Taiwan,semiconductors,1.4,68,
2141,Balkrishan Goenka,India,textiles,1.4,54,2
2141,Binod Chaudhary,Nepal,diversified,1.4,66,3
2141,Cai Hao & family,China,solar energy,1.4,50,
2141,Chen Liying,China,package delivery,1.4,45,
2141,Chen Qixing,China,electronics components,1.4,61,
2141,Chen Zhuolin,China,real estate,1.4,59,2
2141,Christian Herz,Germany,coffee,1.4,,
2141,Christine Knauf,Germany,building materials,1.4,,
2141,Clayton Zekelman,Canada,steel,1.4,52,
2141,Clifford Asness,United States,money management,1.4,54,4
2141,Daniel Hirschfeld,United States,fashion retail,1.4,79,3
2141,Darwin Deason,United States,software,1.4,80,3
2141,Drorit Wertheim,Israel,Coca Cola Israel,1.4,65,2
2141,Edward Stack,United States,Dick's Sporting Goods,1.4,66,
2141,Emma Marcegaglia,Italy,steel,1.4,55,
2141,Fang Zhancheng,China,soy sauce,1.4,,
2141,Farkhad Akhmedov,Russia,investments,1.4,65,3
2141,Fernando Chico Pardo,Mexico,airport management,1.4,69,3
2141,Francis Holder,France,bakeries,1.4,80,3
2141,Gao Yunfeng,China,industrial lasers,1.4,54,
2141,Gisele Trajano,Brazil,retail,1.4,,
2141,Guilherme Peirao Leal,Brazil,cosmetics,1.4,71,5
2141,He Ningning,China,electronic components,1.4,50,
2141,He Yamin & family,China,manufacturing,1.4,64,
2141,Hu Chengzhong,China,manufacturing,1.4,60,
2141,Hu Gengxi & family,China,Bio-Pharma,1.4,57,
2141,Huang Hongyun & family,China,real estate,1.4,54,2
2141,Huang Jian,China,home appliance,1.4,54,
2141,Huang Weibin,China,home appliances,1.4,53,
2141,Huang Xiaofen & family,China,printed circuit boards,1.4,59,
2141,Ilson Mateus,Brazil,supermarkets,1.4,58,3
2141,Inigo Zobel,Philippines,diversified,1.4,64,
2141,Itaru Tanimura,Japan,heathcare,1.4,56,
2141,James Duff,United States,"tires, diversified",1.4,60,2
2141,Jayme Garfinkel,Brazil,insurance,1.4,75,2
2141,Jayshree Ullal,United States,computer networking,1.4,60,2
2141,Jay-Z,United States,Multiple,1.4,51,3
2141,Jean-Paul Clozel,Switzerland,pharmaceuticals,1.4,66,
2141,Jim Crane,United States,"logistics, baseball",1.4,67,3
2141,Jim Thompson,United States,logistics,1.4,81,2
2141,Jitse Groen,Netherlands,food delivery service,1.4,42,
2141,Johan Johannson,Norway,grocery stores,1.4,54,3
2141,Johanna Braun,Germany,medical technology,1.4,41,
2141,John Ocampo,United States,semiconductors,1.4,62,3
2141,Jonathan Oringer,United States,stock photos,1.4,47,
2141,Jonathan Tisch,United States,"insurance, NFL team",1.4,67,2
2141,Judith Neilson,Australia,investments,1.4,75,2
2141,Karl Friedrich Braun,Germany,medical technology,1.4,38,
2141,Karl Knauf,Germany,building materials,1.4,,
2141,Katharina Andresen,Norway,investments,1.4,25,
2141,Keith Dunleavy & family,United States,health IT,1.4,51,4
2141,Kerr Neilson,Australia,investments,1.4,71,2
2141,Li Denghai,China,seed production,1.4,71,
2141,Liang Qin & family,China,semiconductor devices,1.4,49,
2141,Liang Yaoming,China,diagnostics,1.4,57,
2141,Liu Hua,China,infant formula,1.4,48,
2141,Liu Xuejing & family,China,"copper, poultry",1.4,70,
2141,Lloyd Frink,United States,Zillow,1.4,56,2
2141,Louis Bacon,United States,hedge funds,1.4,64,7
2141,Lu Rongfu,China,telecommunication,1.4,50,
2141,Martin Selig,United States,real estate,1.4,83,3
2141,Maurizio Billi,Brazil,generic drugs,1.4,63,
2141,Michael Spencer,United Kingdom,stock exchange,1.4,65,3
2141,Michaela Herz,Germany,coffee,1.4,,
2141,Mimi Haas,United States,Levi's jeans,1.4,74,
2141,Mori Arkin,Israel,pharmaceuticals,1.4,68,3
2141,Nigel Austin,Australia,retail,1.4,50,6
2141,Nirmal Minda,India,auto parts,1.4,63,2
2141,Nobutoshi Shimamura,Japan,retail,1.4,95,3
2141,Oliver Samwer,Germany,tech investments,1.4,47,3
2141,Qi Jinxing,China,real estate,1.4,59,1
2141,Qian Jinghong,China,electric scooters,1.4,48,
2141,"Reinfried Pohl, Jr.",Germany,mutual funds,1.4,61,5
2141,Richard Hayne,United States,Urban Outfitters,1.4,73,
2141,"Richard Yuengling, Jr.",United States,beer,1.4,78,4
2141,Robert Mouawad,Lebanon,fine jewelry,1.4,76,3
2141,Samuel Barata,Brazil,drugstores,1.4,83,
2141,Scott Kapnick,United States,private equity,1.4,62,
2141,Sefik Yilmaz Dizdar,Turkey,fashion retail,1.4,83,
2141,Shusheng Zheng,China,telecom,1.4,55,
2141,Sidney Kimmel,United States,retail,1.4,93,
2141,Sukanto Tanoto,Indonesia,diversified,1.4,71,4
2141,Sunny Varkey,India,education,1.4,64,2
2141,Swift Xie,China,drones,1.4,41,
2141,Tan Ruiqing,China,chemicals,1.4,54,
2141,Terence (Terry) Matthews,Canada,telecom,1.4,78,4
2141,Theodore Leonsis,United States,sports teams,1.4,65,2
2141,Thomas Duff,United States,"tires, diversified",1.4,64,2
2141,Thomas Steyer,United States,hedge funds,1.4,63,4
2141,Timothy Headington,United States,"oil & gas, investments",1.4,71,
2141,Trevor Milton,United States,â˜…,1.4,39,
2141,Vadim Novinsky,Ukraine,steel,1.4,57,3
2141,Vardis Vardinoyannis & family,Greece,oil and gas,1.4,88,5
2141,Vito Rodriguez Rodriguez,Peru,processed milk,1.4,82,3
2141,Wang Jianfeng & family,China,auto parts,1.4,,
2141,Wang Junjin,China,airline,1.4,52,
2141,Wang Mingwang,China,electronics components,1.4,54,
2141,Wang Xiaoshen,China,lithium,1.4,52,
2141,Werner O. Weber,Switzerland,electronic components,1.4,82,
2141,Wilma Tisch,United States,diversified,1.4,93,4
2141,Wu Po Sum,China,real estate,1.4,70,
2141,Xie Ketao,China,education,1.4,57,
2141,Yu Guo,China,education,1.4,59,
2141,Zadik Bino & family,Israel,"banking, oil",1.4,77,3
2141,Zheng Hong & family,China,electronics,1.4,70,
2141,Zhuo Jun,Hong Kong,printed circuit boards,1.4,55,
2141,Ziv Aviram,Israel,automotive technology,1.4,62,
1008,Alec Gores,United States,private equity,3,68,6
1008,Allan Goldman,United States,real estate,3,78,4
1008,Amy Goldman Fowler,United States,real estate,3,67,
1008,Andrew Tan,Philippines,diversified,3,71,4
1008,Behdad Eghbali,United States,private equity,3,45,
1008,Ben Chestnut,United States,email marketing,3,46,2
1008,Cameron Winklevoss,United States,cryptocurrency,3,39,
1008,Carl Douglas,Sweden,investments,3,60,
1008,Christian Haub,Germany,retail,3,56,4
1008,Dan Kurzius,United States,email marketing,3,49,2
1008,Diane Kemper,United States,real estate,3,75,
1008,Eddy Kusnadi Sariaatmadja,Indonesia,"media, tech",3,67,4
1008,Eric Douglas,Sweden,investments,3,53,
1008,Ferit Faik Sahenk,Turkey,diversified,3,57,1
1008,Friede Springer,Germany,publishing,3,78,
1008,Gan Zhongru,China,pharmaceuticals,3,72,
1008,Geoffrey Kwok,Hong Kong,real estate,3,36,
1008,George Kurtz,United States,security software,3,50,2
1008,Gil Shwed,Israel,software,3,52,
1008,Gudrun Heine,Germany,medical devices,3,66,
1008,Haim Saban,United States,"TV network, investments",3,76,4
1008,Hans Sy,Philippines,diversified,3,65,4
1008,Herbert Sy,Philippines,diversified,3,64,
1008,Huang Jinfeng,China,e-commerce,3,38,
1008,Huang Rulun,China,real estate,3,69,2
1008,James Irsay,United States,Indianapolis Colts,3,61,3
1008,James Leprino,United States,cheese,3,83,2
1008,Jeffrey Lurie,United States,Philadelphia Eagles,3,69,2
1008,Jimmy Haslam,United States,"gas stations, retail",3,67,3
1008,John Coates,United Kingdom,online gambling,3,51,2
1008,Jose E. Feliciano,United States,private equity,3,47,
1008,Joseph Liemandt,United States,software,3,52,
1008,Justin Ishbia,United States,â˜…,3,43,2
1008,Koos Bekker,South Africa,"media, investments",3,68,2
1008,Kwek Leng Beng,Singapore,diversified,3,80,2
1008,Louis Le Duff,France,bakeries,3,74,2
1008,Or Wai Sheun,Hong Kong,real estate,3,69,2
1008,P.V. Ramprasad Reddy,India,pharmaceuticals,3,63,2
1008,Pat Stryker,United States,medical equipment,3,65,3
1008,Pedro de Godoy Bueno,Brazil,health insurance,3,31,
1008,Peter Grogg,Switzerland,biochemicals,3,79,
1008,Peter Lim,Singapore,investments,3,67,2
1008,Philippe Foriel-Destezet,France,employment agency,3,85,4
1008,Richard White,Australia,software,3,66,2
1008,Sheldon Lavin,United States,meat processing,3,88,
1008,Song Zuowen,China,"aluminum, diversified",3,74,2
1008,Sybill Storz,Germany,medical devices,3,84,1
1008,Tian Ming,China,measuring instruments,3,67,
1008,Tom Morris,United Kingdom,retail,3,66,
1008,Tyler Winklevoss,United States,cryptocurrency,3,39,
1008,Wang Changtian,China,"TV, movie production",3,56,
1008,Wilhelm Beier & family,Germany,pharmaceuticals,3,65,
1008,Xia Zuoquan,China,automobiles,3,59,
1008,Yin Xin,China,video streaming app,3,36,
1008,Zhang Lei,China,investments,3,48,2
1008,Zhu Xingming,China,electrical equipment,3,54,
1580,Alain Taravella,France,real estate development,2,73,
1580,Alberto Prada,Italy,luxury goods,2,67,
1580,Alexander Svetakov,Russia,real estate,2,53,4
1580,Amy Wyss,United States,medical equipment,2,50,
1580,Andy Fang,United States,food delivery app,2,28,
1580,Anne Beaufour,France,pharmaceuticals,2,57,
1580,Arvind Tiku,India,"oil & gas, investments",2,51,2
1580,Bahaa Hariri,Lebanon,"real estate, investments",2,55,
