"Index","Description","Group 1","Group 2","Value Column Name","Value"
"13","Shares used in per share calculation (GAAP)","Three Months Ended","September 26, 2020","Col4","1215"
"13","Shares used in per share calculation (GAAP)","Three Months Ended","December 28, 2019","Col5",
"13","Shares used in per share calculation (GAAP)","Three Months Ended","December 28, 2019","Col6","1188"
"13","Shares used in per share calculation (GAAP)","Year Ended","December 26, 2020","Col7",
"13","Shares used in per share calculation (GAAP)","Year Ended","December 26, 2020","Col8","1207"
"13","Shares used in per share calculation (GAAP)","Year Ended","December 28, 2019","Col9",
"13","Shares used in per share calculation (GAAP)","Year Ended","December 28, 2019","Col10","1120"
"14","Interest expense add-back to GAAP net income","Three Months Ended","December 26, 2020","Col1",
"14","Interest expense add-back to GAAP net income","Three Months Ended","December 26, 2020","Col2","0"
"14","Interest expense add-back to GAAP net income","Three Months Ended","September 26, 2020","Col3",
"14","Interest expense add-back to GAAP net income","Three Months Ended","September 26, 2020","Col4","1"
"14","Interest expense add-back to GAAP net income","Three Months Ended","December 28, 2019","Col5",
"14","Interest expense add-back to GAAP net income","Three Months Ended","December 28, 2019","Col6","4"
"14","Interest expense add-back to GAAP net income","Year Ended","December 26, 2020","Col7",
"14","Interest expense add-back to GAAP net income","Year Ended","December 26, 2020","Col8","1"
"14","Interest expense add-back to GAAP net income","Year Ended","December 28, 2019","Col9",
"14","Interest expense add-back to GAAP net income","Year Ended","December 28, 2019","Col10","0"
"15","Shares used in per share calculation (Non-GAAP)","Three Months Ended","December 26, 2020","Col1",
"15","Shares used in per share calculation (Non-GAAP)","Three Months Ended","December 26, 2020","Col2","1232"
"15","Shares used in per share calculation (Non-GAAP)","Three Months Ended","September 26, 2020","Col3",
"15","Shares used in per share calculation (Non-GAAP)","Three Months Ended","September 26, 2020","Col4","1230"
"15","Shares used in per share calculation (Non-GAAP)","Three Months Ended","December 28, 2019","Col5",
"15","Shares used in per share calculation (Non-GAAP)","Three Months Ended","December 28, 2019","Col6","1216"
"15","Shares used in per share calculation (Non-GAAP)","Year Ended","December 26, 2020","Col7",
"15","Shares used in per share calculation (Non-GAAP)","Year Ended","December 26, 2020","Col8","1228"
"15","Shares used in per share calculation (Non-GAAP)","Year Ended","December 28, 2019","Col9",
"15","Shares used in per share calculation (Non-GAAP)","Year Ended","December 28, 2019","Col10","1209"
"16","Interest expense add-back to Non-GAAP net income","Three Months Ended","December 26, 2020","Col1",
"16","Interest expense add-back to Non-GAAP net income","Three Months Ended","December 26, 2020","Col2","0"
"16","Interest expense add-back to Non-GAAP net income","Three Months Ended","September 26, 2020","Col3",
"16","Interest expense add-back to Non-GAAP net income","Three Months Ended","September 26, 2020","Col4","1"
"16","Interest expense add-back to Non-GAAP net income","Three Months Ended","December 28, 2019","Col5",
"16","Interest expense add-back to Non-GAAP net income","Three Months Ended","December 28, 2019","Col6","2"
"16","Interest expense add-back to Non-GAAP net income","Year Ended","December 26, 2020","Col7",
"16","Interest expense add-back to Non-GAAP net income","Year Ended","December 26, 2020","Col8","4"
"16","Interest expense add-back to Non-GAAP net income","Year Ended","December 28, 2019","Col9",
"16","Interest expense add-back to Non-GAAP net income","Year Ended","December 28, 2019","Col10","16"
"17","","Three Months Ended","December 26, 2020","Col1",
"17","","Three Months Ended","December 26, 2020","Col2",
"17","","Three Months Ended","September 26, 2020","Col3",
"17","","Three Months Ended","September 26, 2020","Col4",
"17","","Three Months Ended","December 28, 2019","Col5",
"17","","Three Months Ended","December 28, 2019","Col6",
"17","","Year Ended","December 26, 2020","Col7",
"17","","Year Ended","December 26, 2020","Col8",
"17","","Year Ended","December 28, 2019","Col9",
"17","","Year Ended","December 28, 2019","Col10",
"5","Equity income in investee","Three Months Ended","December 26, 2020","Col1","-3"
"5","Equity income in investee","Three Months Ended","December 26, 2020","Col2","0"
"5","Equity income in investee","Three Months Ended","September 26, 2020","Col3","-1"
"5","Equity income in investee","Three Months Ended","September 26, 2020","Col4","0"
"5","Equity income in investee","Three Months Ended","December 28, 2019","Col5","0"
"5","Equity income in investee","Three Months Ended","December 28, 2019","Col6","0"
"5","Equity income in investee","Year Ended","December 26, 2020","Col7","-5"
"5","Equity income in investee","Year Ended","December 26, 2020","Col8","0"
"5","Equity income in investee","Year Ended","December 28, 2019","Col9","0"
"5","Equity income in investee","Year Ended","December 28, 2019","Col10","0"
"8","Release of valuation allowance on deferred tax assets","Three Months Ended","December 26, 2020","Col1","-1301"
"8","Release of valuation allowance on deferred tax assets","Three Months Ended","December 26, 2020","Col2","-1.06"
"8","Release of valuation allowance on deferred tax assets","Three Months Ended","September 26, 2020","Col3","0"
"8","Release of valuation allowance on deferred tax assets","Three Months Ended","September 26, 2020","Col4","0"
"8","Release of valuation allowance on deferred tax assets","Three Months Ended","December 28, 2019","Col5","0"
"8","Release of valuation allowance on deferred tax assets","Three Months Ended","December 28, 2019","Col6","0"
"8","Release of valuation allowance on deferred tax assets","Year Ended","December 26, 2020","Col7","-1301"
"8","Release of valuation allowance on deferred tax assets","Year Ended","December 26, 2020","Col8","-1.07"
"8","Release of valuation allowance on deferred tax assets","Year Ended","December 28, 2019","Col9","0"
"8","Release of valuation allowance on deferred tax assets","Year Ended","December 28, 2019","Col10","0"
